name,city,priority_rank
ÖZEL ELİTSEN KOLEJİ FEN LİSESİ,ERZURUM,2
BATMAN FEN LİSESİ,BATMAN,2
ÖZEL ZÜBEYDE HANIM FEN LİSESİ,İZMİR,2
AYDEM FEN LİSESİ,DENİZLİ,2
HÜSEYİN GİRENES FEN LİSESİ,ANTALYA,2
HALİL KALE FEN LİSESİ,MANİSA,2
ÖZEL YENİ YOL FEN LİSESİ,ESKİŞEHİR,2
ÖZEL ÇAĞDAŞ ÖNCÜ FEN LİSESİ,BURSA,2
BOLU FEN LİSESİ,BOLU,2
ÖZEL ANTALYA FİNAL FEN LİSESİ,ANTALYA,2
BAFRA FEN LİSESİ,SAMSUN,2
ÖZEL ÖLÇÜN ANADOLU LİSESİ,SAKARYA,2
ÖZEL NAMIK ALTAŞ KOLEJİ FEN LİSESİ,ORDU,2
KÜTAHYA NAFİ GÜRAL FEN LİSESİ,KÜTAHYA,2
ADIYAMAN FEN LİSESİ,ADIYAMAN,2
NAMIK KARAMANCI FEN LİSESİ,ANTALYA,2
İSTEK ÖZEL KAŞGARLI MAHMUT FEN LİSESİ,İSTANBUL,2
ADANA ANADOLU LİSESİ,ADANA,2
KAYA KARAKAYA FEN LİSESİ,ELAZIĞ,2
ÖZEL GAZİOSMANPAŞA ŞEFKAT FEN LİSESİ,İSTANBUL,2
GAZİANTEP KOLEJİ VAKFI ÖZEL FEN LİSESİ,GAZİANTEP,2
TOBB FEN LİSESİ,GAZİANTEP,2
NECİP FAZIL KISAKÜREK ANADOLU İMAM HATİP LİSESİ,KOCAELİ,2
ADAPAZARI ÖZEL ŞAHİN ANADOLU LİSESİ,SAKARYA,2
ÖZEL BALIKESİR SİMYA KOLEJİ,BALIKESİR,2
TOKAT MİLLİ PİYANGO İHYA BALAK FEN LİSESİ,TOKAT,2
ÖZEL AÇI KOLEJİ FEN LİSESİ,BURSA,2
T.V. ÖZEL ŞİŞLİ TERAKKİ FEN LİSESİ,İSTANBUL,2
PROF. DR. MEHMET GÖRMEZ ANADOLU İMAM HATİP LİSESİ,GAZİANTEP,2
KARTAL ANADOLU İMAM HATİP LİSESİ,İSTANBUL,2
ÖZEL BİLFEN ANTALYA FEN LİSESİ,ANTALYA,2
TAVŞANLI 15 TEMMUZ ŞEHİTLER FEN LİSESİ,KÜTAHYA,2
KAHRAMANMARAŞ FEN LİSESİ,KAHRAMANMARAŞ,2
SESİM SARPKAYA FEN LİSESİ,MERSİN,2
CEMİL MERİÇ FEN LİSESİ,ELAZIĞ,2
VAN TÜRK TELEKOM FEN LİSESİ,VAN,2
TED KARADENİZ EREĞLİ KOLEJİ VAKFI ÖZEL LİSESİ,ZONGULDAK,2
ÖDEMİŞ AYHAN KÖKMEN FEN LİSESİ,İZMİR,2
15 TEMMUZ ŞEHİTLER FEN LİSESİ,SAKARYA,2
İNEGÖL MEDİHA-HAYRİ ÇELİK FEN LİSESİ,BURSA,2
VEFA LİSESİ,İSTANBUL,2
ÖZEL DEĞER KOLEJİ FEN LİSESİ,GAZİANTEP,2
ÖZEL MUŞ SEÇKİN İZ FEN LİSESİ,MUŞ,2
ÖZEL VAN AÇI KOLEJİ FEN LİSESİ,VAN,2
KASTAMONU FEN LİSESİ,KASTAMONU,2
AHMET ERDEM ANADOLU LİSESİ,BURSA,2
MUAMMER DERELİ FEN LİSESİ,KOCAELİ,2
ŞEHREMİNİ ANADOLU LİSESİ,İSTANBUL,2
MACİT ZEREN FEN LİSESİ,AMASYA,2
VEHBİ KOÇ VAKFI KOÇ ÖZEL LİSESİ,İSTANBUL,2
ÖZEL MARMARA EVLERİ İHLAS FEN LİSESİ,İSTANBUL,2
PROF. DR. NABİ AVCI FEN LİSESİ,İSTANBUL,2
HASAN SABRİ ÇAVUŞOĞLU FEN LİSESİ,BARTIN,2
MALATYA FETHİ GEMUHLUOĞLU FEN LİSESİ,MALATYA,2
SİİRT TÜRK TELEKOM FEN LİSESİ,SİİRT,2
ANKARA ERMAN ILICAK FEN LİSESİ,ANKARA,2
ÖZEL DİYARBAKIR BAHÇEŞEHİR FEN VE TEKNOLOJİ LİSESİ,DİYARBAKIR,2
