Median_Success_Rate,High School,Total_Instances,Success_Ranks,Corrected_Success_Ranks
17139.75,ÖZEL DEVA FEN VE TEKNOLOJİ LİSESİ (GAZİANTEP - ŞEHİTKAMİL),16,"[1.935, 5.145, 6.639, 10.612, 11.277, 12.201, 12.336, 12.683, 14.61, 16.846, 22.575, 25.044, 26.382, 28.704, 32.716, 34.531]","[1935.0, 5145.0, 6639.0, 10612.0, 11277.0, 12201.0, 12336.0, 12683.0, 14610.0, 16846.0, 22575.0, 25044.0, 26382.0, 28704.0, 32716.0, 34531.0]"
17141.666666666668,ÖZEL MAVİ GÖL FİNAL FEN LİSESİ (ADANA - ÇUKUROVA),3,"[10.612, 15.033, 25.78]","[10612.0, 15033.0, 25780.0]"
17143.85714285714,TOBB FEN LİSESİ (GAZİANTEP - ŞAHİNBEY),49,"[203.0, 1.348, 1.935, 2.887, 2.963, 3.356, 3.577, 3.658, 4.886, 5.29, 6.639, 7.32, 7.769, 8.58, 9.589, 10.779, 10.901, 11.733, 12.683, 13.25, 13.564, 14.61, 14.988, 15.033, 16.371, 16.761, 16.846, 17.132, 17.273, 19.498, 22.575, 23.284, 23.448, 23.583, 25.044, 26.382, 26.792, 27.165, 27.177, 27.427, 28.1, 28.704, 30.608, 31.45, 31.66, 32.716, 36.077, 37.312, 39.123]","[203.0, 1348.0, 1935.0, 2887.0, 2963.0, 3356.0, 3577.0, 3658.0, 4886.0, 5290.0, 6639.0, 7320.0, 7769.0, 8580.0, 9589.0, 10779.0, 10901.0, 11733.0, 12683.0, 13250.0, 13564.0, 14610.0, 14988.0, 15033.0, 16370.999999999998, 16761.0, 16846.0, 17132.0, 17273.0, 19498.0, 22575.0, 23284.0, 23448.0, 23583.0, 25044.0, 26382.0, 26792.0, 27165.0, 27177.0, 27427.0, 28100.0, 28704.0, 30608.0, 31450.0, 31660.0, 32716.0, 36077.0, 37312.0, 39123.0]"
17146.85714285714,ÖZEL EVRENSEL FEN LİSESİ (ANKARA - ÇANKAYA),14,"[1.348, 4.84, 5.199, 7.571, 11.318, 13.564, 15.819, 16.052, 18.769, 23.451, 23.646, 27.586, 31.866, 39.027]","[1348.0, 4840.0, 5199.0, 7571.0, 11318.0, 13564.0, 15819.0, 16052.0, 18769.0, 23451.0, 23646.0, 27586.0, 31866.0, 39027.0]"
17150.454545454544,MEVLÜDE-AHMET DOĞANAY FEN LİSESİ (YOZGAT - SORGUN),11,"[3.659, 7.571, 14.136, 15.007, 17.273, 17.824, 18.118, 19.32, 23.517, 24.13, 28.1]","[3659.0, 7571.0, 14136.0, 15007.0, 17273.0, 17824.0, 18118.0, 19320.0, 23517.0, 24130.0, 28100.0]"
17156.333333333332,ÖZEL YALOVA GÜÇLÜ ANADOLU LİSESİ (YALOVA - MERKEZ),3,"[9.295, 13.125, 29.049]","[9295.0, 13125.0, 29049.0]"
17159.222222222223,FATMA MEHMET CADIL FEN LİSESİ (ANTALYA - KORKUTELİ),9,"[532.0, 9.627, 10.795, 12.236, 18.333, 22.161, 23.323, 23.389, 34.037]","[532.0, 9627.0, 10795.0, 12236.0, 18333.0, 22161.0, 23323.0, 23389.0, 34037.0]"
17164.51851851852,KAHRAMANMARAŞ TOBB FEN LİSESİ (KAHRAMANMARAŞ - ONİKİŞUBAT),54,"[1.008, 1.242, 1.348, 1.391, 1.603, 1.858, 1.935, 3.294, 3.577, 4.099, 5.199, 5.29, 6.639, 6.727, 7.43, 7.571, 9.295, 9.627, 9.716, 9.745, 10.165, 10.612, 12.683, 14.136, 14.398, 14.61, 16.761, 16.846, 17.071, 18.118, 18.333, 20.156, 20.419, 21.168, 22.575, 23.457, 23.583, 23.783, 25.044, 26.474, 27.034, 27.311, 28.414, 28.704, 29.049, 29.883, 30.722, 33.097, 35.496, 36.077, 36.548, 37.31, 39.047, 39.206]","[1008.0, 1242.0, 1348.0, 1391.0, 1603.0, 1858.0, 1935.0, 3294.0, 3577.0, 4099.0, 5199.0, 5290.0, 6639.0, 6727.0, 7430.0, 7571.0, 9295.0, 9627.0, 9716.0, 9745.0, 10165.0, 10612.0, 12683.0, 14136.0, 14398.0, 14610.0, 16761.0, 16846.0, 17071.0, 18118.0, 18333.0, 20156.0, 20419.0, 21168.0, 22575.0, 23457.0, 23583.0, 23783.0, 25044.0, 26474.0, 27034.0, 27311.0, 28414.0, 28704.0, 29049.0, 29883.0, 30722.0, 33097.0, 35496.0, 36077.0, 36548.0, 37310.0, 39047.0, 39206.0]"
17175.0,ABDULHAMİT HAN KIZ ANADOLU İMAM HATİP LİSESİ (GAZİANTEP - NİZİP),3,"[6.066, 19.077, 26.382]","[6066.0, 19077.0, 26382.0]"
17191.63157894737,YÜKSEL-İLHAN ALANYALI FEN LİSESİ (İSTANBUL - KARTAL),57,"[1.008, 1.288, 1.348, 1.858, 2.388, 2.792, 2.963, 3.294, 3.771, 4.686, 4.91, 5.145, 5.725, 6.639, 8.201, 10.901, 11.277, 11.7, 12.463, 13.125, 13.176, 13.547, 13.713, 13.973, 14.245, 15.038, 16.089, 16.371, 16.409, 18.662, 18.69, 18.907, 19.538, 20.06, 20.962, 22.192, 22.581, 23.451, 24.13, 24.589, 25.044, 26.044, 26.429, 26.897, 27.165, 27.815, 27.829, 28.1, 28.376, 29.049, 29.261, 30.424, 31.102, 31.45, 32.79, 33.408, 36.935]","[1008.0, 1288.0, 1348.0, 1858.0, 2388.0, 2792.0, 2963.0, 3294.0, 3771.0, 4686.0, 4910.0, 5145.0, 5725.0, 6639.0, 8201.0, 10901.0, 11277.0, 11700.0, 12463.0, 13125.0, 13176.0, 13547.0, 13713.0, 13973.0, 14245.0, 15038.0, 16088.999999999998, 16370.999999999998, 16409.0, 18662.0, 18690.0, 18907.0, 19538.0, 20060.0, 20962.0, 22192.0, 22581.0, 23451.0, 24130.0, 24589.0, 25044.0, 26044.0, 26429.0, 26897.0, 27165.0, 27815.0, 27829.0, 28100.0, 28376.0, 29049.0, 29261.0, 30424.0, 31102.0, 31450.0, 32790.0, 33408.0, 36935.0]"
17206.978260869564,ÖZEL DİLTAŞ ANADOLU LİSESİ (KONYA - MERAM),46,"[452.0, 1.242, 1.603, 1.935, 2.826, 3.356, 3.577, 3.658, 3.659, 3.771, 4.686, 6.128, 6.545, 7.43, 7.583, 7.721, 8.262, 12.236, 13.25, 13.485, 13.564, 14.61, 15.094, 17.018, 18.333, 20.419, 22.161, 23.323, 23.646, 24.094, 25.361, 25.811, 26.044, 26.345, 27.034, 27.311, 27.815, 28.414, 30.608, 31.449, 32.334, 32.565, 35.574, 35.652, 35.968, 37.569]","[452.0, 1242.0, 1603.0, 1935.0, 2826.0, 3356.0, 3577.0, 3658.0, 3659.0, 3771.0, 4686.0, 6128.0, 6545.0, 7430.0, 7583.0, 7721.0, 8262.0, 12236.0, 13250.0, 13485.0, 13564.0, 14610.0, 15094.0, 17018.0, 18333.0, 20419.0, 22161.0, 23323.0, 23646.0, 24094.0, 25361.0, 25811.0, 26044.0, 26345.0, 27034.0, 27311.0, 27815.0, 28414.0, 30608.0, 31449.0, 32334.000000000004, 32564.999999999996, 35574.0, 35652.0, 35968.0, 37569.0]"
17225.5,İNÖNÜ ANADOLU LİSESİ (ÇORUM - MERKEZ),2,"[10.321, 24.13]","[10321.0, 24130.0]"
17226.25,MUSTAFA BÜYÜKKAPLAN ANADOLU İMAM HATİP LİSESİ (KONYA - SELÇUKLU),8,"[1.008, 1.858, 4.91, 13.25, 22.161, 23.646, 33.408, 37.569]","[1008.0, 1858.0, 4910.0, 13250.0, 22161.0, 23646.0, 33408.0, 37569.0]"
17230.428571428572,ÖZEL GEBZE BAHÇEŞEHİR FEN VE TEKNOLOJİ LİSESİ (KOCAELİ - GEBZE),7,"[1.858, 2.392, 7.583, 22.037, 24.589, 26.805, 35.349]","[1858.0, 2392.0, 7583.0, 22037.0, 24589.0, 26805.0, 35349.0]"
17235.384615384617,ÖZEL ÇAKABEY LİSESİ (İZMİR - ÇİĞLİ),13,"[2.408, 3.659, 8.262, 11.7, 12.683, 16.052, 16.371, 18.69, 20.33, 22.161, 24.51, 30.796, 36.438]","[2408.0, 3659.0, 8262.0, 11700.0, 12683.0, 16052.0, 16370.999999999998, 18690.0, 20330.0, 22161.0, 24510.0, 30796.0, 36438.0]"
17273.0,CUMHURİYET ANADOLU LİSESİ (MARDİN - KIZILTEPE),1,[17.273],[17273.0]
17273.0,İSMAİL KULAK ANADOLU LİSESİ (ADANA - ÇUKUROVA),1,[17.273],[17273.0]
17273.0,ÖZEL AMASYA KUTLUBEY KOLEJİ ANADOLU LİSESİ (AMASYA - MERKEZ),1,[17.273],[17273.0]
17273.0,ÖZEL ÖZ EVLER KAMPÜS ANADOLU LİSESİ (ANKARA - YENİMAHALLE),1,[17.273],[17273.0]
17273.0,ÖZEL VİRANŞEHİR UĞUR FEN LİSESİ (ŞANLIURFA - VİRANŞEHİR),1,[17.273],[17273.0]
17273.0,ŞEHİT UZMAN ÇAVUŞ TOLGA SAĞLAM KIZ ANADOLU İMAM HATİP LİSESİ (İZMİR - TORBALI),1,[17.273],[17273.0]
17275.0,ÖZEL MAVİ GÖL FİNAL ANADOLU LİSESİ (ADANA - ÇUKUROVA),2,"[7.721, 26.829]","[7721.0, 26829.0]"
17280.5,ÖZEL BİLGEM FEN LİSESİ (ELAZIĞ - MERKEZ),2,"[11.277, 23.284]","[11277.0, 23284.0]"
17284.84,TOBB FEN LİSESİ (ŞANLIURFA - HALİLİYE),25,"[532.0, 5.199, 5.787, 7.32, 7.571, 8.58, 9.627, 10.165, 10.612, 11.277, 11.535, 13.973, 14.61, 16.846, 19.077, 22.085, 23.448, 26.382, 26.474, 27.909, 28.1, 28.704, 29.182, 32.348, 34.778]","[532.0, 5199.0, 5787.0, 7320.0, 7571.0, 8580.0, 9627.0, 10165.0, 10612.0, 11277.0, 11535.0, 13973.0, 14610.0, 16846.0, 19077.0, 22085.0, 23448.0, 26382.0, 26474.0, 27909.0, 28100.0, 28704.0, 29182.0, 32348.0, 34778.0]"
17300.0,ÖZEL BOLU FİNAL AKADEMİ ANADOLU LİSESİ (BOLU - MERKEZ),2,"[12.286, 22.314]","[12286.0, 22314.0]"
17310.0,ÖZEL TARABYA ÇÖZÜM AKADEMİ ANADOLU LİSESİ (İSTANBUL - SARIYER),1,[17.31],[17310.0]
17310.0,ÖZEL KEMERBURGAZ BİLİM ANADOLU LİSESİ (İSTANBUL - EYÜPSULTAN),1,[17.31],[17310.0]
17311.0,TED KAYSERİ KOLEJİ VAKFI ÖZEL LİSESİ (KAYSERİ - KOCASİNAN),13,"[1.603, 4.27, 6.639, 8.262, 10.165, 11.277, 14.136, 18.118, 23.884, 25.044, 31.449, 33.408, 36.788]","[1603.0, 4270.0, 6639.0, 8262.0, 10165.0, 11277.0, 14136.0, 18118.0, 23884.0, 25044.0, 31449.0, 33408.0, 36788.0]"
17322.88888888889,SABAHAT-CEMİL ULUPINAR FEN LİSESİ (ZONGULDAK - DEVREK),9,"[5.199, 9.716, 11.535, 14.136, 18.907, 21.103, 23.451, 23.517, 28.342]","[5199.0, 9716.0, 11535.0, 14136.0, 18907.0, 21103.0, 23451.0, 23517.0, 28342.0]"
17328.0,TUNCELİ ANADOLU LİSESİ (TUNCELİ - MERKEZ),2,"[17.273, 17.383]","[17273.0, 17383.0]"
17334.055555555555,ÖZEL AKSARAY VİZYON AKADEMİ FEN LİSESİ (AKSARAY - MERKEZ),18,"[1.242, 1.935, 3.577, 8.58, 9.175, 9.627, 10.795, 10.901, 13.485, 15.007, 21.427, 22.161, 23.517, 27.034, 28.1, 34.163, 34.285, 37.002]","[1242.0, 1935.0, 3577.0, 8580.0, 9175.0, 9627.0, 10795.0, 10901.0, 13485.0, 15007.0, 21427.0, 22161.0, 23517.0, 27034.0, 28100.0, 34163.0, 34285.0, 37002.0]"
17334.7,ÖZEL İNCİRLİOVA BAHÇEŞEHİR ANADOLU LİSESİ (AYDIN - İNCİRLİOVA),10,"[945.0, 2.392, 5.29, 10.795, 14.089, 18.714, 19.442, 30.796, 32.334, 38.55]","[945.0, 2392.0, 5290.0, 10795.0, 14089.0, 18714.0, 19442.0, 30796.0, 32334.000000000004, 38550.0]"
17349.533333333333,NUSAYBİN ANADOLU LİSESİ (MARDİN - NUSAYBİN),15,"[1.935, 4.035, 5.29, 7.32, 8.58, 10.612, 15.038, 18.333, 19.077, 20.037, 23.448, 26.382, 28.414, 33.565, 38.177]","[1935.0, 4035.0, 5290.0, 7320.0, 8580.0, 10612.0, 15038.0, 18333.0, 19077.0, 20037.0, 23448.0, 26382.0, 28414.0, 33565.0, 38177.0]"
17361.931034482757,ŞEHİT MUHAMMET MUSTAFA KARABÖRK FEN LİSESİ (OSMANİYE - KADİRLİ),29,"[1.288, 3.577, 5.199, 5.787, 6.31, 7.571, 8.201, 9.61, 9.627, 9.716, 10.612, 12.342, 13.25, 14.61, 15.033, 16.846, 20.156, 20.419, 21.168, 21.427, 24.094, 25.654, 27.034, 27.311, 27.586, 31.66, 33.565, 34.285, 39.558]","[1288.0, 3577.0, 5199.0, 5787.0, 6310.0, 7571.0, 8201.0, 9610.0, 9627.0, 9716.0, 10612.0, 12342.0, 13250.0, 14610.0, 15033.0, 16846.0, 20156.0, 20419.0, 21168.0, 21427.0, 24094.0, 25654.0, 27034.0, 27311.0, 27586.0, 31660.0, 33565.0, 34285.0, 39558.0]"
17362.5,HAKKARİ FEN LİSESİ (HAKKARİ - MERKEZ),2,"[11.277, 23.448]","[11277.0, 23448.0]"
17366.75,ÖZEL KUMLUCA SINAV FEN LİSESİ (ANTALYA - KUMLUCA),16,"[286.0, 1.242, 5.29, 9.162, 13.485, 13.564, 14.988, 17.273, 17.824, 17.949, 18.69, 23.884, 26.18, 28.1, 34.285, 35.666]","[286.0, 1242.0, 5290.0, 9162.0, 13485.0, 13564.0, 14988.0, 17273.0, 17824.0, 17949.0, 18690.0, 23884.0, 26180.0, 28100.0, 34285.0, 35666.0]"
17377.714285714286,MEV KOLEJİ ÖZEL GÜZELBAHÇE FEN LİSESİ (İZMİR - GÜZELBAHÇE),14,"[1.242, 5.29, 5.947, 7.32, 8.58, 10.795, 16.761, 18.12, 23.457, 26.044, 27.413, 28.236, 29.883, 34.2]","[1242.0, 5290.0, 5947.0, 7320.0, 8580.0, 10795.0, 16761.0, 18120.0, 23457.0, 26044.0, 27413.0, 28236.0, 29883.0, 34200.0]"
17378.0,ÖZEL BİRİKİM HAYAT FEN LİSESİ (İSTANBUL - BAĞCILAR),2,"[1.348, 33.408]","[1348.0, 33408.0]"
17383.0,ÖZEL ÇİĞLİ FEN BİLİMLERİ ANADOLU LİSESİ (İZMİR - ÇİĞLİ),1,[17.383],[17383.0]
17383.0,ÖZEL KENT KOLEJİ ANADOLU LİSESİ (İZMİR - ÇİĞLİ),1,[17.383],[17383.0]
17383.0,ÖZEL ELÇİN TÜN ANADOLU LİSESİ (İZMİR - GAZİEMİR),1,[17.383],[17383.0]
17383.0,SERDİVAN ANADOLU LİSESİ (SAKARYA - SERDİVAN),1,[17.383],[17383.0]
17384.0,ÖZEL İSTEM KOLEJİ FEN LİSESİ (KAYSERİ - MELİKGAZİ),11,"[2.792, 4.377, 5.29, 7.32, 16.761, 18.118, 20.156, 21.103, 27.815, 28.1, 39.392]","[2792.0, 4377.0, 5290.0, 7320.0, 16761.0, 18118.0, 20156.0, 21103.0, 27815.0, 28100.0, 39392.0]"
17392.5,FATİN RÜŞTÜ ZORLU ANADOLU LİSESİ (İSTANBUL - KARTAL),2,"[10.901, 23.884]","[10901.0, 23884.0]"
17407.555555555555,ÖZEL BATMAN FİNAL FEN LİSESİ (BATMAN - MERKEZ),9,"[1.603, 5.145, 9.716, 13.176, 14.61, 16.052, 27.909, 33.097, 35.36]","[1603.0, 5145.0, 9716.0, 13176.0, 14610.0, 16052.0, 27909.0, 33097.0, 35360.0]"
17408.5,ÖZEL GETRONAGAN ERMENİ ANADOLU LİSESİ (İSTANBUL - BEYOĞLU),2,"[12.236, 22.581]","[12236.0, 22581.0]"
17421.013333333332,GAZİ ANADOLU LİSESİ (ANKARA - ÇANKAYA),75,"[1.242, 1.603, 2.053, 2.086, 2.408, 2.826, 3.035, 3.063, 3.577, 3.659, 5.199, 5.787, 6.128, 6.31, 7.31, 7.571, 7.583, 8.201, 9.025, 9.175, 9.61, 9.627, 9.716, 9.745, 10.165, 11.527, 11.89, 12.9, 13.25, 13.255, 13.485, 13.564, 14.136, 15.007, 15.038, 15.66, 15.819, 17.018, 17.824, 18.131, 18.145, 18.333, 18.714, 19.22, 19.32, 19.498, 20.156, 20.538, 21.103, 21.427, 22.085, 22.161, 22.233, 23.323, 23.389, 23.451, 25.811, 26.18, 26.383, 27.516, 27.595, 28.565, 30.424, 30.608, 31.866, 32.228, 32.334, 34.163, 35.288, 35.349, 35.496, 35.652, 36.937, 37.839, 38.038]","[1242.0, 1603.0, 2053.0, 2086.0, 2408.0, 2826.0, 3035.0, 3063.0, 3577.0, 3659.0, 5199.0, 5787.0, 6128.0, 6310.0, 7310.0, 7571.0, 7583.0, 8201.0, 9025.0, 9175.0, 9610.0, 9627.0, 9716.0, 9745.0, 10165.0, 11527.0, 11890.0, 12900.0, 13250.0, 13255.0, 13485.0, 13564.0, 14136.0, 15007.0, 15038.0, 15660.0, 15819.0, 17018.0, 17824.0, 18131.0, 18145.0, 18333.0, 18714.0, 19220.0, 19320.0, 19498.0, 20156.0, 20538.0, 21103.0, 21427.0, 22085.0, 22161.0, 22233.0, 23323.0, 23389.0, 23451.0, 25811.0, 26180.0, 26383.0, 27516.0, 27595.0, 28565.0, 30424.0, 30608.0, 31866.0, 32228.0, 32334.000000000004, 34163.0, 35288.0, 35349.0, 35496.0, 35652.0, 36937.0, 37839.0, 38038.0]"
17436.0,NACİ GÖKÇE ANADOLU LİSESİ (AĞRI - MERKEZ),3,"[13.176, 15.038, 24.094]","[13176.0, 15038.0, 24094.0]"
17440.824561403508,AZİZ ATİK FEN LİSESİ (SAMSUN - İLKADIM),57,"[1.242, 1.348, 1.603, 1.676, 2.792, 2.826, 2.887, 3.294, 3.577, 3.658, 4.122, 4.377, 5.145, 5.199, 5.725, 7.32, 9.162, 9.716, 11.535, 12.342, 13.125, 13.176, 13.487, 13.547, 15.007, 16.371, 17.071, 17.273, 17.828, 18.719, 18.769, 19.22, 20.037, 21.103, 21.427, 22.581, 23.094, 23.284, 23.451, 23.517, 24.13, 26.18, 26.897, 27.427, 27.516, 27.815, 27.956, 28.376, 29.446, 30.038, 30.795, 31.544, 35.288, 35.36, 35.968, 38.2, 39.558]","[1242.0, 1348.0, 1603.0, 1676.0, 2792.0, 2826.0, 2887.0, 3294.0, 3577.0, 3658.0, 4122.0, 4377.0, 5145.0, 5199.0, 5725.0, 7320.0, 9162.0, 9716.0, 11535.0, 12342.0, 13125.0, 13176.0, 13487.0, 13547.0, 15007.0, 16370.999999999998, 17071.0, 17273.0, 17828.0, 18719.0, 18769.0, 19220.0, 20037.0, 21103.0, 21427.0, 22581.0, 23094.0, 23284.0, 23451.0, 23517.0, 24130.0, 26180.0, 26897.0, 27427.0, 27516.0, 27815.0, 27956.0, 28376.0, 29446.0, 30038.0, 30795.0, 31544.0, 35288.0, 35360.0, 35968.0, 38200.0, 39558.0]"
17488.0,ALİ AKKANAT ANADOLU LİSESİ (İSTANBUL - SARIYER),1,[17.488],[17488.0]
17503.0,ÖZEL KESTEL KÜLTÜR ANADOLU LİSESİ (BURSA - KESTEL),2,"[8.201, 26.805]","[8201.0, 26805.0]"
17509.37777777778,ERZİNCAN FEN LİSESİ (ERZİNCAN - MERKEZ),45,"[945.0, 1.008, 1.242, 1.348, 1.603, 1.858, 1.935, 2.792, 2.963, 3.577, 5.145, 6.639, 7.32, 8.201, 9.589, 10.165, 11.535, 13.125, 13.176, 13.25, 13.973, 14.136, 16.371, 17.071, 18.719, 23.36, 23.457, 23.646, 24.461, 26.18, 26.345, 27.586, 27.956, 28.342, 28.414, 29.333, 30.469, 31.383, 31.544, 31.66, 32.565, 32.688, 35.968, 36.271, 38.608]","[945.0, 1008.0, 1242.0, 1348.0, 1603.0, 1858.0, 1935.0, 2792.0, 2963.0, 3577.0, 5145.0, 6639.0, 7320.0, 8201.0, 9589.0, 10165.0, 11535.0, 13125.0, 13176.0, 13250.0, 13973.0, 14136.0, 16370.999999999998, 17071.0, 18719.0, 23360.0, 23457.0, 23646.0, 24461.0, 26180.0, 26345.0, 27586.0, 27956.0, 28342.0, 28414.0, 29333.0, 30469.0, 31383.0, 31544.0, 31660.0, 32564.999999999996, 32688.000000000004, 35968.0, 36271.0, 38608.0]"
17522.0,BEHÇET KEMAL ÇAĞLAR ANADOLU LİSESİ (İSTANBUL - SARIYER),2,"[12.463, 22.581]","[12463.0, 22581.0]"
17528.5,ÖZEL DENİZATI ANADOLU LİSESİ (İSTANBUL - ATAŞEHİR),2,"[15.094, 19.963]","[15094.0, 19963.0]"
17529.5,ÖZEL BEŞGEN ANADOLU LİSESİ (ANKARA - ÇANKAYA),6,"[5.787, 9.716, 15.007, 16.052, 28.191, 30.424]","[5787.0, 9716.0, 15007.0, 16052.0, 28191.0, 30424.0]"
17558.25641025641,ÖZEL RASİM ŞAHİNKAYA FEN LİSESİ (BURSA - NİLÜFER),39,"[1.311, 1.603, 2.053, 2.826, 3.294, 3.356, 3.658, 4.377, 5.787, 7.721, 8.262, 9.61, 10.165, 13.324, 13.45, 15.007, 15.038, 15.217, 16.394, 17.132, 18.6, 22.085, 22.192, 22.233, 22.581, 22.669, 23.323, 23.451, 24.752, 27.427, 27.75, 28.236, 28.342, 29.19, 29.446, 34.531, 34.888, 35.652, 37.839]","[1311.0, 1603.0, 2053.0, 2826.0, 3294.0, 3356.0, 3658.0, 4377.0, 5787.0, 7721.0, 8262.0, 9610.0, 10165.0, 13324.0, 13450.0, 15007.0, 15038.0, 15217.0, 16394.0, 17132.0, 18600.0, 22085.0, 22192.0, 22233.0, 22581.0, 22669.0, 23323.0, 23451.0, 24752.0, 27427.0, 27750.0, 28236.0, 28342.0, 29190.0, 29446.0, 34531.0, 34888.0, 35652.0, 37839.0]"
17572.53846153846,FETULLAH BAYIR FEN LİSESİ (KONYA - BEYŞEHİR),13,"[3.577, 5.29, 5.725, 6.066, 8.58, 13.25, 13.485, 22.161, 24.094, 26.897, 29.065, 34.285, 35.968]","[3577.0, 5290.0, 5725.0, 6066.0, 8580.0, 13250.0, 13485.0, 22161.0, 24094.0, 26897.0, 29065.0, 34285.0, 35968.0]"
17584.833333333332,İNEGÖL MEDİHA-HAYRİ ÇELİK FEN LİSESİ (BURSA - İNEGÖL),48,"[945.0, 1.348, 1.858, 1.935, 3.689, 5.145, 5.199, 5.29, 5.947, 6.066, 6.639, 7.32, 7.571, 7.721, 9.589, 10.901, 11.277, 11.733, 12.236, 13.176, 15.007, 15.038, 16.089, 16.552, 17.824, 18.907, 20.06, 21.103, 21.168, 22.192, 22.581, 23.323, 23.389, 23.451, 24.589, 25.811, 26.18, 27.427, 27.595, 28.236, 29.049, 30.038, 30.722, 33.408, 35.417, 36.937, 37.002, 39.392]","[945.0, 1348.0, 1858.0, 1935.0, 3689.0, 5145.0, 5199.0, 5290.0, 5947.0, 6066.0, 6639.0, 7320.0, 7571.0, 7721.0, 9589.0, 10901.0, 11277.0, 11733.0, 12236.0, 13176.0, 15007.0, 15038.0, 16088.999999999998, 16552.0, 17824.0, 18907.0, 20060.0, 21103.0, 21168.0, 22192.0, 22581.0, 23323.0, 23389.0, 23451.0, 24589.0, 25811.0, 26180.0, 27427.0, 27595.0, 28236.0, 29049.0, 30038.0, 30722.0, 33408.0, 35417.0, 36937.0, 37002.0, 39392.0]"
17590.927272727273,BOLU FEN LİSESİ (BOLU - MERKEZ),55,"[1.603, 1.734, 1.935, 2.392, 2.792, 3.577, 5.199, 5.787, 6.639, 7.31, 7.571, 8.071, 8.262, 8.58, 9.61, 9.716, 10.321, 10.795, 11.527, 12.286, 13.176, 13.485, 13.547, 13.564, 14.089, 14.565, 15.007, 15.094, 17.273, 18.769, 18.907, 20.156, 20.33, 20.538, 21.103, 21.427, 22.314, 22.581, 23.272, 23.451, 26.383, 27.586, 27.75, 28.342, 29.049, 29.33, 30.424, 30.795, 32.228, 32.688, 32.79, 34.163, 35.496, 35.574, 36.548]","[1603.0, 1734.0, 1935.0, 2392.0, 2792.0, 3577.0, 5199.0, 5787.0, 6639.0, 7310.0, 7571.0, 8071.0, 8262.0, 8580.0, 9610.0, 9716.0, 10321.0, 10795.0, 11527.0, 12286.0, 13176.0, 13485.0, 13547.0, 13564.0, 14089.0, 14565.0, 15007.0, 15094.0, 17273.0, 18769.0, 18907.0, 20156.0, 20330.0, 20538.0, 21103.0, 21427.0, 22314.0, 22581.0, 23272.0, 23451.0, 26383.0, 27586.0, 27750.0, 28342.0, 29049.0, 29330.0, 30424.0, 30795.0, 32228.0, 32688.000000000004, 32790.0, 34163.0, 35496.0, 35574.0, 36548.0]"
17594.5,ÖZEL FİNAL ANADOLU LİSESİ (KAHRAMANMARAŞ - ELBİSTAN),2,"[17.071, 18.118]","[17071.0, 18118.0]"
17601.25,ÖZEL SİMYA FEN LİSESİ (HATAY - BELEN),4,"[2.086, 16.846, 25.044, 26.429]","[2086.0, 16846.0, 25044.0, 26429.0]"
17616.772727272728,ÖZEL MUSTAFA KEMAL FİNAL ANADOLU LİSESİ (ANKARA - ÇANKAYA),22,"[452.0, 3.063, 3.659, 6.066, 7.571, 8.201, 11.527, 13.324, 15.007, 15.033, 15.819, 17.273, 19.32, 22.161, 22.233, 23.451, 23.646, 29.182, 30.913, 31.866, 32.228, 35.574]","[452.0, 3063.0, 3659.0, 6066.0, 7571.0, 8201.0, 11527.0, 13324.0, 15007.0, 15033.0, 15819.0, 17273.0, 19320.0, 22161.0, 22233.0, 23451.0, 23646.0, 29182.0, 30913.0, 31866.0, 32228.0, 35574.0]"
17622.5,İSTEK ÖZEL ATANUR OĞUZ ANADOLU LİSESİ (İSTANBUL - BEŞİKTAŞ),2,"[7.43, 27.815]","[7430.0, 27815.0]"
17628.14285714286,FATİH SULTAN MEHMET ULUSLARARASI ANADOLU İMAM HATİP LİSESİ (İSTANBUL - FATİH),7,"[4.344, 12.558, 17.31, 18.907, 19.139, 20.037, 31.102]","[4344.0, 12558.0, 17310.0, 18907.0, 19139.0, 20037.0, 31102.0]"
17628.5,KİLİS MEHMET ZELZELE FEN LİSESİ (KİLİS - MERKEZ),16,"[1.935, 6.639, 7.571, 9.627, 10.612, 14.61, 16.846, 17.273, 17.824, 18.719, 21.168, 23.783, 26.382, 26.474, 27.815, 34.778]","[1935.0, 6639.0, 7571.0, 9627.0, 10612.0, 14610.0, 16846.0, 17273.0, 17824.0, 18719.0, 21168.0, 23783.0, 26382.0, 26474.0, 27815.0, 34778.0]"
17634.666666666668,BAHÇEŞEHİR ATATÜRK ANADOLU LİSESİ (İSTANBUL - BAŞAKŞEHİR),3,"[9.162, 15.038, 28.704]","[9162.0, 15038.0, 28704.0]"
17649.666666666668,ÖZEL BAŞAK ANADOLU LİSESİ (AYDIN - EFELER),3,"[7.32, 12.683, 32.946]","[7320.0, 12683.0, 32946.0]"
