Rank,High School,Total Students
287,TED SAMSUN KOLEJİ ÖZEL LİSESİ (SAMSUN - ATAKUM),2
288,YAŞAR KIMIL FEN LİSESİ (DENİZLİ - PAMUKKALE),2
289,ÖZEL TOROS FEN LİSESİ (MERSİN - YENİŞEHİR),2
290,ŞEHİT ABDULKADİR KILAVUZ ANADOLU LİSESİ (UŞAK - MERKEZ),2
291,ÖZEL ANTALYA LARA BAHÇEŞEHİR ANADOLU LİSESİ (ANTALYA - MURATPAŞA),2
292,ÖZEL ERYAMAN BİLİM DOĞA ANADOLU LİSESİ (ANKARA - ETİMESGUT),2
293,ÖZEL SAMSUN BAHÇEŞEHİR KOLEJİ ATAKUM FEN VE TEKNOLOJİ LİSESİ (SAMSUN - ATAKUM),2
294,ŞEHİT KEMAL TOSUN ANADOLU İMAM HATİP LİSESİ (NİĞDE - MERKEZ),2
295,ÖZEL BAHÇEŞEHİR KOLEJİ BANDIRMA ŞUBESİ (BALIKESİR - BANDIRMA),2
296,ÖZEL NEVŞEHİR SİMYA FEN LİSESİ (NEVŞEHİR - MERKEZ),2
297,TED BURSA ÖZEL KOLEJİ (BURSA - MUDANYA),2
298,ŞEHİT MEHMET ŞENGÜL FEN LİSESİ (ESKİŞEHİR - TEPEBAŞI),2
299,TERAKKİ VAKFI ÖZEL ŞİŞLİ TERAKKİ TEPEÖREN ANADOLU LİSESİ (İSTANBUL - TUZLA),2
300,ÖZEL ERZİNCAN SINAV ANADOLU LİSESİ (ERZİNCAN - MERKEZ),2
301,SAMSUN GARİP ZEYCAN YILDIRIM FEN LİSESİ (SAMSUN - ATAKUM),2
302,ADEM-TOLUNAY ANADOLU LİSESİ (ANTALYA - MURATPAŞA),2
303,ÖZEL ELMADAĞ AÇI ANADOLU LİSESİ (ANKARA - ELMADAĞ),2
304,İSTANBUL ANADOLU LİSESİ (İSTANBUL - KADIKÖY),2
305,ÖZEL ALFA GRUP ANADOLU LİSESİ (ANKARA - ETİMESGUT),2
306,ÖZEL ÇİĞLİ FEN BİLİMLERİ ANADOLU LİSESİ (İZMİR - ÇİĞLİ),2
307,ÖZEL KİPAŞ FEN LİSESİ (KAHRAMANMARAŞ - ONİKİŞUBAT),2
308,ÖZEL TAN FEN LİSESİ (BURSA - NİLÜFER),2
309,SİVAS FEN LİSESİ (SİVAS - MERKEZ),2
310,ÖZEL GÜLEÇ ABC ANADOLU LİSESİ (KIRIKKALE - MERKEZ),2
311,GAZİANTEP KOLEJİ VAKFI ÖZEL FEN LİSESİ (GAZİANTEP - ŞEHİTKAMİL),2
312,NERMİN MEHMET ÇEKİÇ ANADOLU LİSESİ (ANKARA - YENİMAHALLE),2
313,ISPARTA SÜLEYMAN DEMİREL FEN LİSESİ (ISPARTA - MERKEZ),2
314,HASAN ALİ YÜCEL SOSYAL BİLİMLER LİSESİ (ANKARA - ÇANKAYA),2
315,ODTÜ GELİŞTİRME VAKFI ÖZEL MERSİN ANADOLU LİSESİ (MERSİN - TOROSLAR),2
316,ÖZEL BATIKENT TAB ANADOLU LİSESİ (ANKARA - YENİMAHALLE),2
317,ÖZEL İSTEK ANTALYA KONYAALTI ANADOLU LİSESİ (ANTALYA - KONYAALTI),2
318,TED İZMİR ÖZEL ANADOLU LİSESİ (İZMİR - URLA),2
319,ŞEHİT TURGUT SOLAK FEN LİSESİ (BALIKESİR - KARESİ),2
320,ÖZEL KADİRLİ BAHÇEŞEHİR KOLEJİ FEN LİSESİ (OSMANİYE - KADİRLİ),2
321,HALICI AHMET URKAY ANADOLU LİSESİ (MUĞLA - MARMARİS),2
322,MUSTAFA ELMAS ARICI ANADOLU LİSESİ (TEKİRDAĞ - SARAY),2
323,ÖZEL ANKARA UĞUR ANADOLU LİSESİ (ANKARA - ÇANKAYA),2
324,ÖZEL İLKE BİREY ANADOLU LİSESİ (TRABZON - ORTAHİSAR),2
325,ÖZEL İSTEM KOLEJİ ANADOLU LİSESİ (KAYSERİ - MELİKGAZİ),2
326,MUSA ERDEM ANADOLU LİSESİ (ANKARA - ÇANKAYA),2
327,ÖZEL KOCAELİ NESİBE AYDIN ANADOLU LİSESİ (KOCAELİ - İZMİT),2
328,ÖZEL OĞUZHAN TOPÇU ANADOLU LİSESİ (ANKARA - ÇANKAYA),2
329,ANKARA TÜRK TELEKOM SOSYAL BİLİMLER LİSESİ (ANKARA - ÇANKAYA),2
330,DR. İLHAMİ TANKUT ANADOLU LİSESİ (ANTALYA - KONYAALTI),2
331,PROF. DR. MÜMTAZ TURHAN SOSYAL BİLİMLER LİSESİ (İSTANBUL - BAHÇELİEVLER),2
332,HACI MALİKE MEHMET BİLEYDİ ANADOLU LİSESİ (ANTALYA - MURATPAŞA),2
333,KIRKKONAKLAR ANADOLU LİSESİ (ANKARA - ÇANKAYA),2
334,ÖZEL TAKEV ANADOLU LİSESİ (İZMİR - NARLIDERE),2
335,ÖZEL BİLNET OKULLARI KARŞIYAKA ANADOLU LİSESİ (İZMİR - MENEMEN),2
336,ATAKÖY CUMHURİYET ANADOLU LİSESİ (İSTANBUL - BAKIRKÖY),2
337,KÖY HİZMETLERİ ANADOLU LİSESİ (İSTANBUL - KARTAL),2
338,MESLEKİ AÇIKÖĞRETİM LİSESİ ( - MERKEZE BAĞLI TAŞRA),2
339,ÖZEL İSTEK ÇANAKKALE BİNDOKUZYÜZONBEŞ ANADOLU LİSESİ (ÇANAKKALE - MERKEZ),2
340,ÖZEL NEVŞEHİR SİMYA ANADOLU LİSESİ (NEVŞEHİR - MERKEZ),2
341,ÖZEL YAŞAM TASARIM ANADOLU LİSESİ (ANTALYA - ALANYA),2
342,TED ÖZEL EGE ANADOLU LİSESİ (AYDIN - İNCİRLİOVA),2
343,ENERJİSA BANDIRMA FEN LİSESİ (BALIKESİR - BANDIRMA),2
344,ÖZEL JALE TEZER FEN LİSESİ (ANKARA - ÇANKAYA),2
345,ÖZEL NAMIK ALTAŞ KOLEJİ FEN LİSESİ (ORDU - ALTINORDU),2
346,ÖZEL VARLIK ANADOLU LİSESİ (ANKARA - ÇANKAYA),2
347,ÇANAKKALE ÖZEL FEN LİSESİ (ÇANAKKALE - MERKEZ),2
348,ÖZEL ANTALYA MAYA ANADOLU LİSESİ (ANTALYA - MURATPAŞA),2
349,ŞEHZADELER GEDİZ ANADOLU LİSESİ (MANİSA - ŞEHZADELER),2
350,YAHYA AKEL FEN LİSESİ (MERSİN - YENİŞEHİR),2
351,MAT-FKB ÖZEL GELİŞİM ANADOLU LİSESİ (ESKİŞEHİR - TEPEBAŞI),2
352,KÜTAHYA NAFİ GÜRAL FEN LİSESİ (KÜTAHYA - MERKEZ),2
353,ANTALYA TÜRKİYE ODALAR VE BORSALAR BİRLİĞİ FEN LİSESİ (ANTALYA - KEPEZ),2
354,ADNAN MENDERES ANADOLU LİSESİ (İSTANBUL - BAHÇELİEVLER),2
355,KOCATEPE MİMAR KEMAL ANADOLU LİSESİ (ANKARA - ÇANKAYA),1
356,ÖZEL ADANA BİL KOLEJİ ANADOLU LİSESİ (ADANA - SEYHAN),1
357,ÖZEL ADANA DOĞA ANADOLU LİSESİ (ADANA - ÇUKUROVA),1
358,ÖZEL AMASYA KUTLUBEY KOLEJİ ANADOLU LİSESİ (AMASYA - MERKEZ),1
359,ÖZEL ANKARA AÇILIM KOLEJİ ANADOLU LİSESİ (ANKARA - ÇANKAYA),1
360,ÖZEL BAHÇEŞEHİR NAZMİ ARIKAN FEN BİLİMLERİ ANADOLU LİSESİ (İSTANBUL - BAŞAKŞEHİR),1
361,ÖZEL BALIKESİR SİMYA KOLEJİ (BALIKESİR - ALTIEYLÜL),1
362,ÖZEL BODRUM BAHÇEŞEHİR ANADOLU LİSESİ (MUĞLA - BODRUM),1
363,ÖZEL BODRUM MARMARA KOLEJİ FEN LİSESİ (MUĞLA - BODRUM),1
364,ÖZEL BUCA SINAV KOLEJİ ANADOLU LİSESİ (İZMİR - BUCA),1
365,ÖZEL ÇAĞFEN LİSESİ (ESKİŞEHİR - TEPEBAŞI),1
366,ÖZEL ÇAĞRI ANADOLU LİSESİ (ANKARA - KEÇİÖREN),1
367,ÖZEL ÇUKUROVA SIFIR BİR AKADEMİ ANADOLU LİSESİ (ADANA - ÇUKUROVA),1
368,ÖZEL DİYARBAKIR OKYANUS KOLEJİ FEN LİSESİ (DİYARBAKIR - KAYAPINAR),1
369,ÖZEL İSKENDERUN SINAV ANADOLU LİSESİ (HATAY - İSKENDERUN),1
370,ÖZEL KADİRLİ ELİT ÇUKUROVA ANADOLU LİSESİ (OSMANİYE - KADİRLİ),1
371,ÖZEL KUMLUCA SINAV ANADOLU LİSESİ (ANTALYA - KUMLUCA),1
372,ÖZEL MALTEPE SINAV KOLEJİ ANADOLU LİSESİ (İSTANBUL - MALTEPE),1
373,ÖZEL MANİSA BAHÇEŞEHİR KOLEJİ ANADOLU LİSESİ (MANİSA - YUNUSEMRE),1
374,ÖZEL MİLAS FİNAL AKADEMİ ANADOLU LİSESİ (MUĞLA - MİLAS),1
375,ÖZEL PURSAKLAR BİLİŞİM ANADOLU LİSESİ (ANKARA - PURSAKLAR),1
376,ÖZEL ŞANLIURFA SARAÇ İLGİ OKULLARI ANADOLU LİSESİ (ŞANLIURFA - KARAKÖPRÜ),1
377,ÖZEL ŞENER ÇAKMAK ANADOLU LİSESİ (ANKARA - YENİMAHALLE),1
378,ÖZEL TAYLAN DOĞAN FEN LİSESİ (GAZİANTEP - ŞEHİTKAMİL),1
379,ÖZEL ZAFER TEK YILDIZ TEMEL LİSESİ (ANKARA - ÇANKAYA),1
380,TED ALİAĞA KOLEJİ VAKFI ÖZEL LİSESİ (İZMİR - ALİAĞA),1
381,TED KARABÜK KOLEJİ VAKFI ÖZEL ANADOLU LİSESİ (KARABÜK - MERKEZ),1
382,YALOVA ANADOLU LİSESİ (YALOVA - MERKEZ),1
383,15 TEMMUZ ŞEHİTLERİ ANADOLU LİSESİ (ARTVİN - MERKEZ),1
384,ÖZEL ANTALYA AÇI ANADOLU LİSESİ (ANTALYA - MURATPAŞA),1
385,ÖZEL DERİK ÇÖZÜM ANADOLU LİSESİ (MARDİN - DERİK),1
386,ÖZEL GİRESUN DOĞA FEN LİSESİ (GİRESUN - MERKEZ),1
387,ÖZEL İZFEN ANADOLU LİSESİ (İZMİR - MENEMEN),1
388,ÖZEL ORTADOĞULULAR ANADOLU LİSESİ (ANKARA - ÇANKAYA),1
389,ÖZEL YÖNELT ANADOLU LİSESİ (MUĞLA - MENTEŞE),1
390,TED BATMAN PETROL KOLEJİ ÖZEL ANADOLU LİSESİ (BATMAN - MERKEZ),1
391,ADIYAMAN FEN LİSESİ (ADIYAMAN - MERKEZ),1
392,ÇARŞAMBA FEN LİSESİ (SAMSUN - ÇARŞAMBA),1
393,ÇEAS ANADOLU LİSESİ (ADANA - ÇUKUROVA),1
394,GAZİANTEP ANADOLU LİSESİ (GAZİANTEP - ŞEHİTKAMİL),1
395,MERİNOS ALİ ERDEMOĞLU FEN LİSESİ (ADIYAMAN - BESNİ),1
396,ÖZEL ATAK FEN LİSESİ (ADIYAMAN - MERKEZ),1
397,ÖZEL FORM KAMPÜS FEN LİSESİ (KONYA - SELÇUKLU),1
398,ÖZEL SALİHLİ BAHÇEŞEHİR KOLEJİ FEN LİSESİ (MANİSA - SALİHLİ),1
399,ÖZEL SANKO FEN VE TEKNOLOJİ LİSESİ (GAZİANTEP - ŞEHİTKAMİL),1
400,ŞEHİT AHMET ÖZSOY FEN LİSESİ (İZMİR - MENEMEN),1
401,VALİ AYDIN ARSLAN FEN LİSESİ (DİYARBAKIR - SUR),1
402,GİRESUN FEN LİSESİ (GİRESUN - MERKEZ),1
403,MERSİN EĞİTİM VAKFI ÖZEL TOROS ANADOLU LİSESİ (MERSİN - YENİŞEHİR),1
404,MUSTAFA BÜYÜKKAPLAN ANADOLU İMAM HATİP LİSESİ (KONYA - SELÇUKLU),1
405,NURAN YILMAZ ANADOLU LİSESİ (HATAY - ARSUZ),1
406,ÖZEL BİLİM KAMPÜS ANADOLU LİSESİ (DENİZLİ - MERKEZEFENDİ),1
407,ÖZEL ENVAR FEN LİSESİ (KONYA - SELÇUKLU),1
408,ÖZEL NEVŞEHİR BAHÇEŞEHİR FEN LİSESİ (NEVŞEHİR - MERKEZ),1
409,ÖZEL SELÇUKLU YÖNTEM ANADOLU LİSESİ (KONYA - SELÇUKLU),1
410,ÖZEL TEKİRDAĞ BİLGİ KOLEJİ ANADOLU LİSESİ (TEKİRDAĞ - SÜLEYMANPAŞA),1
411,YUSUF SAMİ KIZ ANADOLU İMAM HATİP LİSESİ (ŞANLIURFA - SİVEREK),1
412,ÖZEL ÇANKAYA DOĞA ANADOLU LİSESİ (ANKARA - ÇANKAYA),1
413,ÖZEL ŞENER ÇAKMAK FEN LİSESİ (ANKARA - YENİMAHALLE),1
414,ÖZEL BUCA SINAV KOLEJİ FEN LİSESİ (İZMİR - BUCA),1
415,ÖZEL DİYARBAKIR FİNAL FEN LİSESİ (DİYARBAKIR - KAYAPINAR),1
416,ÖZEL ERDEMLİ GENİŞ AÇI KOLEJİ ANADOLU LİSESİ (MERSİN - ERDEMLİ),1
417,ÖZEL MARDİN FİNAL FEN LİSESİ (MARDİN - ARTUKLU),1
418,SEYHAN BORSA İSTANBUL FEN LİSESİ (ADANA - SEYHAN),1
419,T.V. ÖZEL ŞİŞLİ TERAKKİ FEN LİSESİ (İSTANBUL - BEŞİKTAŞ),1
420,HASAN SABRİ ÇAVUŞOĞLU FEN LİSESİ (BARTIN - MERKEZ),1
421,ÖZEL TURGUTREİS UĞUR ANADOLU LİSESİ (MUĞLA - BODRUM),1
422,BOR ŞEHİT RAMAZAN KONUŞ FEN LİSESİ (NİĞDE - BOR),1
423,İSKENDERUN TOSÇELİK FEN LİSESİ (HATAY - İSKENDERUN),1
424,ÖZEL KARADAĞ FEN LİSESİ (KARAMAN - MERKEZ),1
425,ÖZEL MAVİ GÖL FİNAL FEN LİSESİ (ADANA - ÇUKUROVA),1
426,ÖZEL OSMANİYE BAHÇEŞEHİR KOLEJİ FEN LİSESİ (OSMANİYE - MERKEZ),1
427,ÖZEL VAN NAZMİ ARIKAN FEN BİLİMLERİ FEN LİSESİ (VAN - İPEKYOLU),1
428,ÇANKAYA BORSA İSTANBUL MESLEKİ VE TEKNİK ANADOLU LİSESİ (ANKARA - ÇANKAYA),1
429,DAVUT FIRINCIOĞLU ANADOLU LİSESİ (BARTIN - MERKEZ),1
430,FETHİYE ANADOLU LİSESİ (MUĞLA - FETHİYE),1
431,GAZİ ANADOLU LİSESİ (ANKARA - YENİMAHALLE),1
432,GAZİ MESLEKİ VE TEKNİK ANADOLU LİSESİ (ANKARA - YENİMAHALLE),1
433,KILIÇOĞLU ANADOLU LİSESİ (ESKİŞEHİR - ODUNPAZARI),1
434,MANİSA TİCARET BORSASI ANADOLU LİSESİ (MANİSA - YUNUSEMRE),1
435,NAMIK KEMAL LİSESİ (TEKİRDAĞ - SÜLEYMANPAŞA),1
436,ÖZEL BEŞGEN ÇAYYOLU ANADOLU LİSESİ (ANKARA - ÇANKAYA),1
437,ÖZEL BORNOVA MEKTEBİM ANADOLU LİSESİ (İZMİR - BORNOVA),1
438,ÖZEL CANER NALDÖKEN TEMEL LİSESİ (ANKARA - ÇANKAYA),1
439,ÖZEL CENAP DÜZGÜN ANADOLU LİSESİ (ANTALYA - MURATPAŞA),1
440,ÖZEL DARICA FİNAL ANADOLU LİSESİ (KOCAELİ - DARICA),1
441,ÖZEL NEVŞEHİR BAHÇEŞEHİR ANADOLU LİSESİ (NEVŞEHİR - MERKEZ),1
442,ÖZEL SEVİYE BATIKENT ANADOLU LİSESİ (ANKARA - YENİMAHALLE),1
443,ÖZEL ÜÇLER TEMEL LİSESİ (ANKARA - ÇANKAYA),1
444,ÖZEL YÖNTEM KOLEJİ ANADOLU LİSESİ (ANKARA - GÖLBAŞI),1
445,ALİ RIZA ÖZDERİCİ KIZ ANADOLU İMAM HATİP LİSESİ (KAYSERİ - MELİKGAZİ),1
446,ANKARA LİSESİ (ANKARA - ALTINDAĞ),1
447,KİPA 10. YIL ANADOLU LİSESİ (İZMİR - GAZİEMİR),1
448,ÖZEL ADANA ANADOLU LİSESİ (ADANA - SEYHAN),1
449,ÖZEL ALTINYILDIZ KOLEJİ (NEVŞEHİR - MERKEZ),1
450,ÖZEL ANTALYA DOĞA KOLEJİ (ANTALYA - MURATPAŞA),1
451,ÖZEL BAHÇEŞEHİR LİSESİ (İSTANBUL - BAŞAKŞEHİR),1
452,ÖZEL BATIKENT MELTEM AYHAN ANADOLU LİSESİ (ANKARA - YENİMAHALLE),1
453,ÖZEL ELAZIĞ DOĞA FEN LİSESİ (ELAZIĞ - MERKEZ),1
454,ÖZEL ERYAMAN OKUYAN DOĞRULAYAN TARTIŞAN UZMANLAR (ODTU) ANADOLU LİSESİ (ANKARA - ETİMESGUT),1
455,ÖZEL KARDELEN FEN LİSESİ (NEVŞEHİR - MERKEZ),1
456,ÖZEL MALATYA ELİT EĞİTİM ANADOLU LİSESİ (MALATYA - YEŞİLYURT),1
457,ÖZEL MODERN ÇAĞ ANADOLU LİSESİ (İZMİR - TORBALI),1
458,ÖZEL OVACIK SINAV KOLEJİ FEN LİSESİ (ANKARA - KEÇİÖREN),1
459,ÖZEL SAINT MICHEL FRANSIZ LİSESİ (İSTANBUL - ŞİŞLİ),1
460,ÖZEL SERDİVAN TEKSEN ANADOLU LİSESİ (SAKARYA - SERDİVAN),1
461,ÖZEL ŞANLIURFA YÜKSELİŞ KOLEJİ FEN VE TEKNOLOJİ LİSESİ (ŞANLIURFA - KARAKÖPRÜ),1
462,ÖZEL ÜMİTKÖY FİNAL AKADEMİ FEN LİSESİ (ANKARA - ÇANKAYA),1
463,TED AFYON KOLEJİ ÖZEL ANADOLU LİSESİ (AFYONKARAHİSAR - MERKEZ),1
464,TOBB FEN LİSESİ (ŞANLIURFA - HALİLİYE),1
465,YAVUZ SULTAN SELİM ANADOLU LİSESİ (ANKARA - MAMAK),1
466,ZONGULDAK FEN LİSESİ (ZONGULDAK - MERKEZ),1
467,GÜÇ KARDEŞLER ANADOLU LİSESİ (İSTANBUL - ÇEKMEKÖY),1
468,H. AHMET KANATLI ANADOLU LİSESİ (ESKİŞEHİR - ODUNPAZARI),1
469,ÖZEL ALAPLI BAHÇEŞEHİR KOLEJİ ANADOLU LİSESİ (ZONGULDAK - ALAPLI),1
470,ÖZEL AMERİKAN ROBERT LİSESİ (İSTANBUL - BEŞİKTAŞ),1
471,ÖZEL ARİTMETİK KOLEJİ FEN LİSESİ (ANKARA - ETİMESGUT),1
472,ÖZEL BİLFEN KAYSERİ ANADOLU LİSESİ (KAYSERİ - MELİKGAZİ),1
473,ÖZEL ÇORUM DOĞA FEN LİSESİ (ÇORUM - MERKEZ),1
474,ÖZEL DİYARBAKIR FİNAL ANADOLU LİSESİ (DİYARBAKIR - KAYAPINAR),1
475,ÖZEL ELBİSTAN YILDIZ KOLEJİ ANADOLU LİSESİ (KAHRAMANMARAŞ - ELBİSTAN),1
476,ÖZEL ERDEMLİ BİREY ANADOLU LİSESİ (MERSİN - ERDEMLİ),1
477,ÖZEL ERYAMAN SEVGİ ANADOLU LİSESİ (ANKARA - ETİMESGUT),1
478,ÖZEL FENTEK KOLEJİ FEN LİSESİ (KAYSERİ - KOCASİNAN),1
479,ÖZEL İSTANBUL LİDER KOLEJİ ANADOLU LİSESİ (DİYARBAKIR - KAYAPINAR),1
480,ÖZEL KAVAKLIDERE KOLEJİ ANADOLU LİSESİ (ANKARA - ÇANKAYA),1
481,ÖZEL KIZILAY GELİŞİM KOLEJİ ANADOLU LİSESİ (ANKARA - YENİMAHALLE),1
482,ÖZEL KONYA SİSTEM ANADOLU LİSESİ (KONYA - SELÇUKLU),1
483,ÖZEL MEKTEBİM ÇUKUROVA BİLFEN ANADOLU LİSESİ (ADANA - ÇUKUROVA),1
484,ÖZEL ONADIM EĞİTİM BİLİMLERİ ANADOLU LİSESİ (BARTIN - MERKEZ),1
485,ÖZEL SINAV ANADOLU LİSESİ (ANKARA - ÇANKAYA),1
486,ÖZEL TOKAT BAHÇEŞEHİR ANADOLU LİSESİ (TOKAT - MERKEZ),1
487,TED ÖZEL ADANA KOLEJİ ANADOLU LİSESİ (ADANA - SEYHAN),1
488,TED TRABZON ÖZEL ANADOLU LİSESİ (TRABZON - ORTAHİSAR),1
489,TEVFİK SERDAR ANADOLU LİSESİ (TRABZON - ORTAHİSAR),1
490,AKÇAABAT FEN LİSESİ (TRABZON - AKÇAABAT),1
491,BEŞİKTAŞ ANADOLU LİSESİ (İSTANBUL - BEŞİKTAŞ),1
492,ÇAPA FEN LİSESİ (İSTANBUL - FATİH),1
493,MERZİFON FEN LİSESİ (AMASYA - MERZİFON),1
494,NİZİP FEN LİSESİ (GAZİANTEP - NİZİP),1
495,ÖZEL BİLFEN İSKENDERUN FEN LİSESİ (HATAY - ARSUZ),1
496,ÖZEL ÇAĞDAŞ FEN LİSESİ (ESKİŞEHİR - TEPEBAŞI),1
497,ÖZEL HATAY BAHÇEŞEHİR FEN VE TEKNOLOJİ LİSESİ (HATAY - ANTAKYA),1
498,ÖZEL KONYA ESENTEPE FEN LİSESİ (KONYA - SELÇUKLU),1
499,ÖZEL OYA AKIN YILDIZLAR FEN LİSESİ (ANKARA - ÇANKAYA),1
500,TOBB FEN LİSESİ (GAZİANTEP - ŞAHİNBEY),1
501,BUCA MEHMET AKİF ERSOY SOSYAL BİLİMLER LİSESİ (İZMİR - BUCA),1
502,İSTANBUL RECEP TAYYİP ERDOĞAN ANADOLU İMAM HATİP LİSESİ (İSTANBUL - FATİH),1
503,ÖZEL ORDU UĞUR FEN LİSESİ (ORDU - ALTINORDU),1
504,ŞEHİT ERHAN DURAL ANADOLU LİSESİ (ANKARA - ÇANKAYA),1
505,İRFANLI ANADOLU LİSESİ (AMASYA - MERZİFON),1
506,MALATYA ERMAN ILICAK FEN LİSESİ (MALATYA - YEŞİLYURT),1
507,ÖZEL BATI ANADOLU LİSESİ (ANTALYA - MANAVGAT),1
508,ÖZEL PENDİK ÇÖZÜM AKADEMİ ANADOLU LİSESİ (İSTANBUL - PENDİK),1
509,ÖZEL AKHİSAR BAHÇEŞEHİR FEN LİSESİ (MANİSA - AKHİSAR),1
510,BAŞKENT ÜNİVERSİTESİ ÖZEL BAŞKENT KOLEJİ (ADANA - ÇUKUROVA),1
511,FLORYA TEVFİK ERCAN ANADOLU LİSESİ (İSTANBUL - BAKIRKÖY),1
512,MANİSA TOBB BÜLENT KOŞMAZ FEN LİSESİ (MANİSA - YUNUSEMRE),1
513,ÖZEL DENİZLİ İSTEK ANADOLU LİSESİ (DENİZLİ - MERKEZEFENDİ),1
514,ÖZEL DİLTAŞ KIRKINCI YIL ANADOLU LİSESİ (KONYA - SELÇUKLU),1
515,ÖZEL KARABÜK BAHÇEŞEHİR KOLEJİ FEN LİSESİ (KARABÜK - MERKEZ),1
516,ÖZEL KÜRE ANADOLU LİSESİ (İZMİR - BORNOVA),1
517,ÖZEL P.E.V. AMİROĞLU FEN LİSESİ (DENİZLİ - PAMUKKALE),1
518,ÖZEL SINAV KOLEJİ ŞAHİN FEN LİSESİ (KOCAELİ - KARTEPE),1
519,ÖZEL YENİ YOL FEN LİSESİ (ESKİŞEHİR - TEPEBAŞI),1
520,DÜZCE TURGUT ÖZAL ANADOLU LİSESİ (DÜZCE - MERKEZ),1
521,KARŞIYAKA CİHAT KORA ANADOLU LİSESİ (İZMİR - KARŞIYAKA),1
522,75.YIL FEN LİSESİ (MERSİN - AKDENİZ),1
523,ÖZEL ALTINŞEHİR ANADOLU LİSESİ (BURSA - NİLÜFER),1
524,ÖZEL ANTALYA FİNAL AKADEMİ ANADOLU LİSESİ (ANTALYA - MURATPAŞA),1
525,ÖZEL ARTI DESTEK ANADOLU LİSESİ (ANKARA - ÇANKAYA),1
526,ÖZEL BİLNET ANADOLU LİSESİ (BALIKESİR - ALTIEYLÜL),1
527,ÖZEL ENKA LİSESİ (İSTANBUL - SARIYER),1
528,ÖZEL EVRENSEL FEN LİSESİ (ANKARA - ÇANKAYA),1
529,ÖZEL MEZİTLİ FİNAL FEN LİSESİ (MERSİN - MEZİTLİ),1
530,ALPARSLAN ANADOLU LİSESİ (ANKARA - YENİMAHALLE),1
531,İZMİR BÜYÜK ÇİĞLİ ÖZEL TÜRK KOLEJİ ANADOLU LİSESİ (İZMİR - ÇİĞLİ),1
532,MALATYA LİSESİ (MALATYA - BATTALGAZİ),1
533,MED MARİNE TUNCER ŞEN FEN LİSESİ (KOCAELİ - KÖRFEZ),1
534,ÖZEL VAN YÜKSELİŞ FEN LİSESİ (VAN - İPEKYOLU),1
535,ALTINŞEHİR ANADOLU LİSESİ (ADIYAMAN - MERKEZ),1
536,İSTANBUL ATATÜRK ANADOLU LİSESİ (İSTANBUL - BEYOĞLU),1
537,ÖZEL ELAZIĞ FİNAL ANADOLU LİSESİ (ELAZIĞ - MERKEZ),1
538,ŞİLE OYA-ALİ OSMAN KEÇECİ SOSYAL BİLİMLER LİSESİ (İSTANBUL - ŞİLE),1
539,YÜKSEL-İLHAN ALANYALI FEN LİSESİ (İSTANBUL - KARTAL),1
540,DOKUZ EYLÜL ÜNİVERSİTESİ DEVLET KONSERVATUVARI MÜZİK VE SAHNE SANATLARI LİSESİ (İZMİR - BUCA),1
541,ÖZEL BURHANİYE UĞUR ANADOLU LİSESİ (BALIKESİR - BURHANİYE),1
542,ÖZEL ELAZIĞ BAHÇEŞEHİR ANADOLU LİSESİ (ELAZIĞ - MERKEZ),1
543,ÖZEL YAVUZOĞLU ANADOLU LİSESİ (AFYONKARAHİSAR - MERKEZ),1
544,AYRANCI AYSEL YÜCETÜRK ANADOLU LİSESİ (ANKARA - ÇANKAYA),1
545,BATIKENT LİSESİ (ANKARA - YENİMAHALLE),1
546,İZMİR MALTEPE ASKERİ LİSESİ,1
547,AHMET KABAKLI FEN LİSESİ (ELAZIĞ - MERKEZ),1
548,ERZURUM İBRAHİM HAKKI FEN LİSESİ (ERZURUM - PALANDÖKEN),1
549,HATİCE-CEMİL ERCAN FEN LİSESİ (ANKARA - BEYPAZARI),1
550,KAHTA BORSA İSTANBUL FEN LİSESİ (ADIYAMAN - KAHTA),1
551,ÖZEL ERYAMAN SINAV ANADOLU LİSESİ (ANKARA - ETİMESGUT),1
552,ÖZEL HAREKAT ŞEHİTLERİ ANADOLU İMAM HATİP LİSESİ (ANKARA - ÇANKAYA),1
553,ÖZEL NESİBE AYDIN YILDIZLAR TEMEL LİSESİ (ANKARA - ÇANKAYA),1
554,ÖZEL PENDİK BİL ANADOLU LİSESİ (İSTANBUL - PENDİK),1
555,15 TEMMUZ ŞEHİTLER ANADOLU LİSESİ (BURDUR - MERKEZ),1
556,KIRŞEHİR SOSYAL BİLİMLER LİSESİ (KIRŞEHİR - MERKEZ),1
557,ÖZEL ÇAĞLAYAN ERKEK ANADOLU LİSESİ (ANKARA - YENİMAHALLE),1
558,ÖZEL ERYAMAN MODERN BİLİMLER AKADEMİSİ ANADOLU LİSESİ (ANKARA - ETİMESGUT),1
559,SÜLEYMAN DEMİREL ANADOLU LİSESİ (ANKARA - SİNCAN),1
560,ŞEHİT MUSTAFA SERİN FEN LİSESİ (BALIKESİR - EDREMİT),1
561,YILDIRIM BEYAZIT ANADOLU LİSESİ (KIRIKKALE - MERKEZ),1
562,ÖZEL AKIL TRENİ KOLEJİ (ATK) ANADOLU LİSESİ (KAHRAMANMARAŞ - ONİKİŞUBAT),1
563,ARNAVUTKÖY KORKMAZ YİĞİT ANADOLU LİSESİ (İSTANBUL - BEŞİKTAŞ),1
