Rank,High School,Total Students
66,KEÇİÖREN VATANSEVER ŞEHİT TÜMGENERAL AYDOĞAN AYDIN FEN LİSESİ (ANKARA - KEÇİÖREN),6
67,ÖZEL ÜÇGEN ANADOLU LİSESİ (ANKARA - ETİMESGUT),6
68,ÖZEL ÇAKABEY LİSESİ (İZMİR - ÇİĞLİ),6
69,ÖZEL YÜCE KOLEJİ (ANKARA - ÇANKAYA),6
70,AYRANCI ANADOLU LİSESİ (ANKARA - ÇANKAYA),6
71,ÖZEL JALE TEZER BİLİM FEN ANADOLU LİSESİ (ANKARA - ÇANKAYA),6
72,ÖZEL KEÇİÖREN SINAV ANADOLU LİSESİ (ANKARA - KEÇİÖREN),6
73,ÖZEL ANKARA AÇI KOLEJİ ANADOLU LİSESİ (ANKARA - YENİMAHALLE),6
74,ÖZEL TEKDEN FEN LİSESİ (KAYSERİ - MELİKGAZİ),6
75,ÖZEL MEHMET ZEKİ DERMAN ANADOLU LİSESİ (ANKARA - ÇANKAYA),6
76,ÖZEL MODERN ORTADOĞU ANADOLU LİSESİ (ANKARA - ÇANKAYA),5
77,ÖZEL ÜÇFEN ANADOLU LİSESİ (ANKARA - ÇANKAYA),5
78,ÜMİTKÖY ANADOLU LİSESİ (ANKARA - ÇANKAYA),5
79,ÖZEL RASİM ŞAHİNKAYA FEN LİSESİ (BURSA - NİLÜFER),5
80,ÖZEL YÜKSELEN FEN LİSESİ (ANKARA - ÇUBUK),5
81,BAŞKENT ÜNİVERSİTESİ ÖZEL AYŞEABLA FEN LİSESİ (ANKARA - ÇANKAYA),5
82,TRABZON MERKEZ FEN LİSESİ (TRABZON - ORTAHİSAR),5
83,ÖZEL MODERN ANKARA ÇINAR ANADOLU LİSESİ (ANKARA - ÇANKAYA),5
84,ÖZEL JALE TEZER BİLİM FEN LİSESİ (ANKARA - ÇANKAYA),5
85,ÖZEL ÇAYYOLU DOĞA ANADOLU LİSESİ (ANKARA - ÇANKAYA),5
86,ÖZEL OYA AKIN YILDIZLAR ANADOLU LİSESİ (ANKARA - ÇANKAYA),5
87,HAYDARPAŞA LİSESİ (İSTANBUL - ÜSKÜDAR),5
88,ÖZEL TUZKAYA ANADOLU LİSESİ (ANKARA - ÇANKAYA),5
89,İÇEL ANADOLU LİSESİ (MERSİN - MEZİTLİ),5
90,ÖZEL ISPARTA BAHÇEŞEHİR ANADOLU LİSESİ (ISPARTA - MERKEZ),5
91,ÖZEL ÇAĞDAŞ ÖNCÜ ANADOLU LİSESİ (BURSA - NİLÜFER),5
92,ÖZEL BATIKENT SINAV ANADOLU LİSESİ (ANKARA - YENİMAHALLE),4
93,ÖZEL EVRE FEN LİSESİ (MERSİN - YENİŞEHİR),4
94,ÖZEL SEVGİ FEN LİSESİ (ANKARA - GÖLBAŞI),4
