High School,Total,New Graduates,Previous Graduates,Success Rank
YAŞAR ACAR FEN LİSESİ (İSTANBUL - BEYLİKDÜZÜ),1,1,0,3.577
YILMAZ KAYALAR FEN LİSESİ (TOKAT - ERBAA),1,1,0,3.577
YOZGAT ŞEHİTLER FEN LİSESİ (YOZGAT - MERKEZ),4,4,0,3.577
YUSUF ZİYA ÖNER FEN LİSESİ (ANTALYA - DÖŞEMEALTI),2,2,0,3.577
ZONGULDAK FEN LİSESİ (ZONGULDAK - MERKEZ),1,1,0,3.577
15 TEMMUZ ŞEHİTLER ANADOLU LİSESİ (İZMİR - KARŞIYAKA),1,0,1,3.577
ATATÜRK ANADOLU LİSESİ (ÇORUM - MERKEZ),1,1,0,3.577
AYFER-CEYLAN EMET FEN LİSESİ (AFYONKARAHİSAR - BOLVADİN),1,1,0,3.577
AYHAN SÜMER ANADOLU LİSESİ (ANKARA - ÇANKAYA),1,1,0,3.577
AZİZ ATİK FEN LİSESİ (SAMSUN - İLKADIM),3,3,0,3.577
BATMAN FEN LİSESİ (BATMAN - MERKEZ),3,3,0,3.577
BOLU FEN LİSESİ (BOLU - MERKEZ),1,1,0,3.577
BORSA İSTANBUL FEN LİSESİ (DİYARBAKIR - BAĞLAR),2,2,0,3.577
BUCA İNCİ-ÖZER TIRNAKLI FEN LİSESİ (İZMİR - BUCA),1,1,0,3.577
BURSA KIZ LİSESİ (BURSA - OSMANGAZİ),1,1,0,3.577
CEDİDE ABALIOĞLU ANADOLU İMAM HATİP LİSESİ (DENİZLİ - MERKEZEFENDİ),2,2,0,3.577
15 TEMMUZ ŞEHİTLERİ FEN LİSESİ (ÇORUM - MERKEZ),4,4,0,3.577
CEYLANPINAR FEN LİSESİ (ŞANLIURFA - CEYLANPINAR),1,1,0,3.577
CUMHURİYET FEN LİSESİ (ANKARA - ÇANKAYA),3,3,0,3.577
ÇORLU BORSA İSTANBUL FEN LİSESİ (TEKİRDAĞ - ÇORLU),1,1,0,3.577
ÇUKUROVA ELEKTRİK ANADOLU LİSESİ (KAHRAMANMARAŞ - ONİKİŞUBAT),1,1,0,3.577
DR.BİNNAZ EGE-DR.RIDVAN EGE ANADOLU LİSESİ (ANKARA - ÇANKAYA),2,2,0,3.577
ELBİSTAN BORSA İSTANBUL FEN LİSESİ (KAHRAMANMARAŞ - ELBİSTAN),1,1,0,3.577
ERBAKIR FEN LİSESİ (DENİZLİ - MERKEZEFENDİ),2,2,0,3.577
ERCAN AKIN FEN LİSESİ (BURDUR - MERKEZ),1,1,0,3.577
ERDEM BAYAZIT ANADOLU LİSESİ (KAHRAMANMARAŞ - ONİKİŞUBAT),1,1,0,3.577
EREĞLİ FEN LİSESİ (KONYA - EREĞLİ),1,1,0,3.577
75.YIL FEN LİSESİ (MERSİN - AKDENİZ),2,2,0,3.577
ERGANİ FEN LİSESİ (DİYARBAKIR - ERGANİ),1,1,0,3.577
ERZİNCAN FEN LİSESİ (ERZİNCAN - MERKEZ),2,2,0,3.577
ERZURUM İBRAHİM HAKKI FEN LİSESİ (ERZURUM - PALANDÖKEN),3,3,0,3.577
ESKİŞEHİR ANADOLU LİSESİ (ESKİŞEHİR - TEPEBAŞI),1,1,0,3.577
ESKİŞEHİR FATİH FEN LİSESİ (ESKİŞEHİR - ODUNPAZARI),4,4,0,3.577
EYÜP AYGAR FEN LİSESİ (MERSİN - YENİŞEHİR),1,1,0,3.577
FATİH SULTAN MEHMET ANADOLU LİSESİ (BARTIN - MERKEZ),1,1,0,3.577
FETULLAH BAYIR FEN LİSESİ (KONYA - BEYŞEHİR),2,2,0,3.577
GAZİ ANADOLU LİSESİ (ANKARA - ÇANKAYA),1,1,0,3.577
GAZİ OSMAN PAŞA LİSESİ (TOKAT - MERKEZ),2,1,1,3.577
ABDULKADİR KONUKOĞLU FEN LİSESİ (GAZİANTEP - ŞEHİTKAMİL),2,2,0,3.577
GAZİANTEP ANADOLU LİSESİ (GAZİANTEP - ŞEHİTKAMİL),1,1,0,3.577
GİRESUN FEN LİSESİ (GİRESUN - MERKEZ),1,1,0,3.577
GÖKSUN FEN LİSESİ (KAHRAMANMARAŞ - GÖKSUN),1,1,0,3.577
GÖLBAŞI FEN LİSESİ (ADIYAMAN - GÖLBAŞI),1,0,1,3.577
GÜLVEREN ANADOLU LİSESİ (ANTALYA - KEPEZ),1,1,0,3.577
HACIVEYİSZADE ANADOLU İMAM HATİP LİSESİ (KONYA - KARATAY),1,0,1,3.577
HAMDİ BOZBAĞ ANADOLU LİSESİ (GİRESUN - MERKEZ),1,1,0,3.577
HASAN SABRİ ÇAVUŞOĞLU FEN LİSESİ (BARTIN - MERKEZ),2,2,0,3.577
HAVVA-SEDAT AVCIOĞLU FEN LİSESİ (ANTALYA - KUMLUCA),1,1,0,3.577
HÜSEYİN GİRENES FEN LİSESİ (ANTALYA - ALANYA),2,2,0,3.577
AÇIK ÖĞRETİM LİSESİ ( - MERKEZE BAĞLI TAŞRA),3,2,1,3.577
ISPARTA SÜLEYMAN DEMİREL FEN LİSESİ (ISPARTA - MERKEZ),2,2,0,3.577
İBRAHİM-SÜHEYLA İZMİRLİ FEN LİSESİ (ZONGULDAK - EREĞLİ),1,1,0,3.577
İSKENDERUN TOSÇELİK FEN LİSESİ (HATAY - İSKENDERUN),1,1,0,3.577
İSMAİL SAFA ÖZLER ANADOLU LİSESİ (ADANA - ÇUKUROVA),1,1,0,3.577
İSTİKLAL MAKZUME ANADOLU LİSESİ (HATAY - İSKENDERUN),1,1,0,3.577
İZZET BAYSAL ANADOLU LİSESİ (BOLU - MERKEZ),1,1,0,3.577
KAHRAMANMARAŞ FEN LİSESİ (KAHRAMANMARAŞ - ONİKİŞUBAT),1,1,0,3.577
KAHRAMANMARAŞ TOBB FEN LİSESİ (KAHRAMANMARAŞ - ONİKİŞUBAT),2,2,0,3.577
KARATAY FEN LİSESİ (KONYA - KARATAY),1,1,0,3.577
KEÇİÖREN VATANSEVER ŞEHİT TÜMGENERAL AYDOĞAN AYDIN FEN LİSESİ (ANKARA - KEÇİÖREN),6,5,1,3.577
ADANA FEN LİSESİ (ADANA - SEYHAN),1,1,0,3.577
KIRIKKALE FEN LİSESİ (KIRIKKALE - MERKEZ),2,2,0,3.577
KIRŞEHİR AHİ EVRAN ANADOLU LİSESİ (KIRŞEHİR - MERKEZ),2,2,0,3.577
KONYA- MERAM FEN LİSESİ (KONYA - MERAM),3,3,0,3.577
KOZAN FEN LİSESİ (ADANA - KOZAN),2,2,0,3.577
KÖYCEĞİZ FEN LİSESİ (MUĞLA - KÖYCEĞİZ),1,1,0,3.577
KULA BEKİR SACİDE KELEŞOĞLU ANADOLU LİSESİ (MANİSA - KULA),1,1,0,3.577
LÜTFİ EGE ANADOLU LİSESİ (DENİZLİ - MERKEZEFENDİ),1,1,0,3.577
MACİT ZEREN FEN LİSESİ (AMASYA - MERKEZ),2,2,0,3.577
MAHMUT CELALEDDİN ÖKTEN ANADOLU İMAM HATİP LİSESİ (TRABZON - ORTAHİSAR),1,1,0,3.577
MALATYA ANADOLU LİSESİ (MALATYA - BATTALGAZİ),3,2,1,3.577
ADAPAZARI ÖZEL ŞAHİN ANADOLU LİSESİ (SAKARYA - ADAPAZARI),1,1,0,3.577
MALATYA ERMAN ILICAK FEN LİSESİ (MALATYA - YEŞİLYURT),3,2,1,3.577
MALATYA FETHİ GEMUHLUOĞLU FEN LİSESİ (MALATYA - YEŞİLYURT),1,1,0,3.577
MANAVGAT ANADOLU LİSESİ (ANTALYA - MANAVGAT),1,1,0,3.577
MANİSA FEN LİSESİ (MANİSA - YUNUSEMRE),1,1,0,3.577
MEHMET EMİN RESULZADE ANADOLU LİSESİ (ANKARA - ÇANKAYA),2,2,0,3.577
MENTEŞE TÜRKİYE ODALAR VE BORSALAR BİRLİĞİ FEN LİSESİ (MUĞLA - MENTEŞE),1,1,0,3.577
MERZİFON FEN LİSESİ (AMASYA - MERZİFON),1,1,0,3.577
MİDYAT FEN LİSESİ (MARDİN - MİDYAT),1,1,0,3.577
MUSTAFA KAYNAK ANADOLU LİSESİ (DENİZLİ - MERKEZEFENDİ),1,1,0,3.577
MUT OSMAN NURİ YALMAN ANADOLU LİSESİ (MERSİN - MUT),1,1,0,3.577
ADIYAMAN FEN LİSESİ (ADIYAMAN - MERKEZ),2,1,1,3.577
NAMIK KARAMANCI FEN LİSESİ (ANTALYA - MANAVGAT),1,1,0,3.577
NECMETTİN ERBAKAN FEN LİSESİ (SAKARYA - ARİFİYE),1,1,0,3.577
NERMİN MEHMET ÇEKİÇ ANADOLU LİSESİ (ANKARA - YENİMAHALLE),1,1,0,3.577
NEVŞEHİR FEVZİ DİRİKOÇ FEN LİSESİ (NEVŞEHİR - MERKEZ),1,1,0,3.577
NİĞDE FEN LİSESİ (NİĞDE - MERKEZ),3,3,0,3.577
NİLÜFER BORSA İSTANBUL FEN LİSESİ (BURSA - NİLÜFER),1,1,0,3.577
NUH MEHMET KÜÇÜKÇALIK ANADOLU LİSESİ (KAYSERİ - KOCASİNAN),2,2,0,3.577
ORDU FEN LİSESİ (ORDU - ALTINORDU),1,1,0,3.577
OSMAN ULUBAŞ KAYSERİ FEN LİSESİ (KAYSERİ - KOCASİNAN),6,6,0,3.577
ÖZEL ADANA DOĞA FEN LİSESİ (ADANA - ÇUKUROVA),1,1,0,3.577
Toplam,82,75,7,3.658
AZİZ ATİK FEN LİSESİ (SAMSUN - İLKADIM),1,1,0,3.658
BAŞKENT ÜNİVERSİTESİ ÖZEL BAŞKENT FEN LİSESİ (ADANA - ÇUKUROVA),1,1,0,3.658
BEYOĞLU ANADOLU İMAM HATİP LİSESİ (İSTANBUL - BEYOĞLU),1,1,0,3.658
BORNOVA ANADOLU LİSESİ (İZMİR - BORNOVA),1,1,0,3.658
BÜYÜKÇEKMECE ATATÜRK ANADOLU LİSESİ (İSTANBUL - BÜYÜKÇEKMECE),1,1,0,3.658
CAĞALOĞLU ANADOLU LİSESİ (İSTANBUL - FATİH),1,1,0,3.658
ÇANAKKALE FEN LİSESİ (ÇANAKKALE - MERKEZ),1,1,0,3.658
ÇAPA FEN LİSESİ (İSTANBUL - FATİH),1,1,0,3.658
EBRU NAYİM FEN LİSESİ (TEKİRDAĞ - SÜLEYMANPAŞA),1,1,0,3.658
EDİRNE SÜLEYMAN DEMİREL FEN LİSESİ (EDİRNE - MERKEZ),1,1,0,3.658
ABDULKADİR KONUKOĞLU FEN LİSESİ (GAZİANTEP - ŞEHİTKAMİL),1,1,0,3.658
ERZURUM İBRAHİM HAKKI FEN LİSESİ (ERZURUM - PALANDÖKEN),2,1,1,3.658
ESKİŞEHİR FATİH FEN LİSESİ (ESKİŞEHİR - ODUNPAZARI),1,0,1,3.658
FAHREDDİN KERİM GÖKAY ANADOLU LİSESİ (İSTANBUL - KÜÇÜKÇEKMECE),1,1,0,3.658
GÖNEN FEN LİSESİ (ISPARTA - GÖNEN),1,1,0,3.658
GÖNÜLLÜ HİZMET VAKFI MUSTAFA SAFFET FEN LİSESİ (İSTANBUL - PENDİK),1,1,0,3.658
HALİL KALE FEN LİSESİ (MANİSA - TURGUTLU),1,1,0,3.658
HAYDARPAŞA LİSESİ (İSTANBUL - ÜSKÜDAR),1,1,0,3.658
HÜSEYİN AVNİ SÖZEN ANADOLU LİSESİ (İSTANBUL - ÜSKÜDAR),1,1,0,3.658
İSTANBUL ATATÜRK FEN LİSESİ (İSTANBUL - KADIKÖY),1,0,1,3.658
İSTEK ÖZEL ATANUR OĞUZ FEN LİSESİ (İSTANBUL - BEŞİKTAŞ),1,1,0,3.658
ADANA FEN LİSESİ (ADANA - SEYHAN),1,1,0,3.658
İZMİR FEN LİSESİ (İZMİR - BORNOVA),1,1,0,3.658
KADIKÖY ANADOLU İMAM HATİP LİSESİ (İSTANBUL - KADIKÖY),1,1,0,3.658
KADIKÖY ANADOLU LİSESİ (İSTANBUL - KADIKÖY),1,1,0,3.658
KARTAL ANADOLU İMAM HATİP LİSESİ (İSTANBUL - KARTAL),1,1,0,3.658
KOCAELİ FEN LİSESİ (KOCAELİ - İZMİT),2,2,0,3.658
M.EMİN SARAÇ ANADOLU İMAM HATİP LİSESİ (İSTANBUL - BAŞAKŞEHİR),1,1,0,3.658
MALATYA ERMAN ILICAK FEN LİSESİ (MALATYA - YEŞİLYURT),1,1,0,3.658
MERKEZ BANKASI DERİNCE ANADOLU LİSESİ (KOCAELİ - DERİNCE),1,1,0,3.658
MUAMMER DERELİ FEN LİSESİ (KOCAELİ - İZMİT),1,1,0,3.658
NİLÜFER BORSA İSTANBUL FEN LİSESİ (BURSA - NİLÜFER),2,2,0,3.658
ADNAN MENDERES ANADOLU LİSESİ (İSTANBUL - BAHÇELİEVLER),1,1,0,3.658
NUH MEHMET KÜÇÜKÇALIK ANADOLU LİSESİ (KAYSERİ - KOCASİNAN),1,1,0,3.658
OSMAN ULUBAŞ KAYSERİ FEN LİSESİ (KAYSERİ - KOCASİNAN),1,1,0,3.658
ÖZEL AYDIN PUSULA KOLEJİ ANADOLU LİSESİ (AYDIN - EFELER),1,0,1,3.658
ÖZEL DİLTAŞ ANADOLU LİSESİ (KONYA - MERAM),1,1,0,3.658
ÖZEL ENKA FEN VE TEKNOLOJİ LİSESİ (KOCAELİ - DİLOVASI),1,1,0,3.658
ÖZEL FİNAL OKULLARI FEN LİSESİ (KIRIKKALE - MERKEZ),1,1,0,3.658
ÖZEL İZMİR BAHÇEŞEHİR KOLEJİ ELLİNCİ YIL FEN VE TEKNOLOJİ LİSESİ (İZMİR - BORNOVA),1,1,0,3.658
ÖZEL LÜLEBURGAZ İSTEK FEN LİSESİ (KIRKLARELİ - LÜLEBURGAZ),1,1,0,3.658
ÖZEL MAVİ LİMİT ANADOLU LİSESİ (ANKARA - ÇANKAYA),1,1,0,3.658
ÖZEL RASİM ŞAHİNKAYA FEN LİSESİ (BURSA - NİLÜFER),1,1,0,3.658
AKSARAY ŞEHİT PİLOT HAMZA GÜMÜŞSOY FEN LİSESİ (AKSARAY - MERKEZ),1,1,0,3.658
ÖZEL TAKEV FEN LİSESİ (İZMİR - NARLIDERE),1,1,0,3.658
ÖZEL TEMEL DEĞERLER FEN LİSESİ (KONYA - SELÇUKLU),1,1,0,3.658
PENDİK FATİH ANADOLU LİSESİ (İSTANBUL - PENDİK),1,1,0,3.658
PROF. DR. NECMETTİN ERBAKAN FEN LİSESİ (İSTANBUL - BAĞCILAR),1,1,0,3.658
SESİM SARPKAYA FEN LİSESİ (MERSİN - TARSUS),1,1,0,3.658
SUAT TERİMER ANADOLU LİSESİ (İSTANBUL - BAYRAMPAŞA),1,1,0,3.658
ŞEHİT MEHMET AKİF SANCAR ANADOLU İMAM HATİP LİSESİ (MUĞLA - DALAMAN),1,1,0,3.658
ŞEHİT MUSTAFA SEZGİN KIZ ANADOLU İMAM HATİP LİSESİ (KAYSERİ - MELİKGAZİ),1,1,0,3.658
ŞEHİT MÜNİR ALKAN FEN LİSESİ (İSTANBUL - BÜYÜKÇEKMECE),3,3,0,3.658
ŞEHİT ÖZCAN KAN FEN LİSESİ (KOCAELİ - İZMİT),2,2,0,3.658
ANKARA FEN LİSESİ (ANKARA - ÇANKAYA),1,1,0,3.658
T.V. ÖZEL ŞİŞLİ TERAKKİ FEN LİSESİ (İSTANBUL - BEŞİKTAŞ),1,1,0,3.658
TAHİR BÜYÜKKÖRÜKÇÜ ANADOLU İMAM HATİP LİSESİ (KONYA - MERAM),1,1,0,3.658
TAVŞANLI 15 TEMMUZ ŞEHİTLER FEN LİSESİ (KÜTAHYA - TAVŞANLI),1,1,0,3.658
TED ÖZEL EGE ANADOLU LİSESİ (AYDIN - İNCİRLİOVA),1,1,0,3.658
TOBB FEN LİSESİ (GAZİANTEP - ŞAHİNBEY),1,1,0,3.658
TOFAŞ FEN LİSESİ (BURSA - NİLÜFER),2,1,1,3.658
VALİDEBAĞ FEN LİSESİ (İSTANBUL - ÜSKÜDAR),2,2,0,3.658
VEFA LİSESİ (İSTANBUL - FATİH),1,0,1,3.658
VEHBİ DİNÇERLER FEN LİSESİ (GAZİANTEP - ŞEHİTKAMİL),1,0,1,3.658
YAŞAR KIMIL FEN LİSESİ (DENİZLİ - PAMUKKALE),1,1,0,3.658
ANKARA PURSAKLAR FEN LİSESİ (ANKARA - PURSAKLAR),1,1,0,3.658
YUSUF ZİYA ÖNER FEN LİSESİ (ANTALYA - DÖŞEMEALTI),5,5,0,3.658
YÜCEL BORU FEN LİSESİ (KOCAELİ - GEBZE),1,1,0,3.658
ATATÜRK LİSESİ (İZMİR - KONAK),1,1,0,3.658
AYDIN FEN LİSESİ (AYDIN - EFELER),1,1,0,3.658
Toplam,123,111,12,3.659
ATATÜRK ANADOLU LİSESİ (ANKARA - YENİMAHALLE),6,6,0,3.659
ATATÜRK ANADOLU LİSESİ (ÇORUM - MERKEZ),1,1,0,3.659
ATATÜRK ANADOLU LİSESİ (İSTANBUL - BEŞİKTAŞ),1,1,0,3.659
ATATÜRK LİSESİ (İZMİR - KONAK),2,1,1,3.659
AYDINLIKEVLER ANADOLU LİSESİ (ANKARA - KEÇİÖREN),1,0,1,3.659
BETÜL CAN ANADOLU LİSESİ (ANKARA - ÇANKAYA),1,1,0,3.659
BUCA İNCİ-ÖZER TIRNAKLI FEN LİSESİ (İZMİR - BUCA),2,2,0,3.659
BURSA ANADOLU LİSESİ (BURSA - OSMANGAZİ),2,2,0,3.659
CUMHURİYET FEN LİSESİ (ANKARA - ÇANKAYA),3,3,0,3.659
DÖRTYOL FEN LİSESİ (HATAY - DÖRTYOL),1,1,0,3.659
AÇIK ÖĞRETİM LİSESİ ( - MERKEZE BAĞLI TAŞRA),2,0,2,3.659
DR. İLHAMİ TANKUT ANADOLU LİSESİ (ANTALYA - KONYAALTI),2,2,0,3.659
DR.BİNNAZ EGE-DR.RIDVAN EGE ANADOLU LİSESİ (ANKARA - ÇANKAYA),1,1,0,3.659
EBRU NAYİM FEN LİSESİ (TEKİRDAĞ - SÜLEYMANPAŞA),2,2,0,3.659
ERBAKIR FEN LİSESİ (DENİZLİ - MERKEZEFENDİ),3,3,0,3.659
ERZURUM İBRAHİM HAKKI FEN LİSESİ (ERZURUM - PALANDÖKEN),1,1,0,3.659
ESKİŞEHİR ANADOLU LİSESİ (ESKİŞEHİR - TEPEBAŞI),1,1,0,3.659
ESKİŞEHİR FATİH FEN LİSESİ (ESKİŞEHİR - ODUNPAZARI),1,1,0,3.659
EYÜP AYGAR FEN LİSESİ (MERSİN - YENİŞEHİR),1,1,0,3.659
GAZİ ANADOLU LİSESİ (ADANA - SEYHAN),1,1,0,3.659
GAZİ ANADOLU LİSESİ (ANKARA - ÇANKAYA),3,3,0,3.659
ADANA ANADOLU LİSESİ (ADANA - ÇUKUROVA),1,1,0,3.659
GELİBOLU FEN LİSESİ (ÇANAKKALE - GELİBOLU),1,1,0,3.659
GİRESUN FEN LİSESİ (GİRESUN - MERKEZ),1,1,0,3.659
GÜLTEN-ALİ ZİYAN ANADOLU LİSESİ (OSMANİYE - KADİRLİ),1,1,0,3.659
GÜMÜŞHANE TÜRK TELEKOM FEN LİSESİ (GÜMÜŞHANE - MERKEZ),1,1,0,3.659
HACI ÖMER TARMAN ANADOLU LİSESİ (ANKARA - ÇANKAYA),1,1,0,3.659
HALİL KALE FEN LİSESİ (MANİSA - TURGUTLU),1,1,0,3.659
HASAN SABRİ ÇAVUŞOĞLU FEN LİSESİ (BARTIN - MERKEZ),1,1,0,3.659
İSTANBUL ATATÜRK FEN LİSESİ (İSTANBUL - KADIKÖY),1,1,0,3.659
KADIKÖY ANADOLU LİSESİ (İSTANBUL - KADIKÖY),2,2,0,3.659
KEÇİÖREN VATANSEVER ŞEHİT TÜMGENERAL AYDOĞAN AYDIN FEN LİSESİ (ANKARA - KEÇİÖREN),2,2,0,3.659
ADANA FEN LİSESİ (ADANA - SEYHAN),1,1,0,3.659
KIRIKKALE FEN LİSESİ (KIRIKKALE - MERKEZ),2,0,2,3.659
KONYA- MERAM FEN LİSESİ (KONYA - MERAM),2,2,0,3.659
MACİDE-RAMİZ TAŞKINLAR FEN LİSESİ (MANİSA - AKHİSAR),1,1,0,3.659
MALATYA FETHİ GEMUHLUOĞLU FEN LİSESİ (MALATYA - YEŞİLYURT),1,1,0,3.659
MEHMET EMİN RESULZADE ANADOLU LİSESİ (ANKARA - ÇANKAYA),1,1,0,3.659
MEVLÜDE-AHMET DOĞANAY FEN LİSESİ (YOZGAT - SORGUN),1,1,0,3.659
MUAMMER DERELİ FEN LİSESİ (KOCAELİ - İZMİT),1,1,0,3.659
NAMIK KARAMANCI FEN LİSESİ (ANTALYA - MANAVGAT),1,1,0,3.659
NAZİLLİ FEN LİSESİ (AYDIN - NAZİLLİ),1,1,0,3.659
NİĞDE YUNUS EMRE ANADOLU LİSESİ (NİĞDE - MERKEZ),1,0,1,3.659
ADANA TİCARET ODASI ANADOLU LİSESİ (ADANA - SARIÇAM),1,1,0,3.659
ÖDEMİŞ AYHAN KÖKMEN FEN LİSESİ (İZMİR - ÖDEMİŞ),2,2,0,3.659
ÖZEL ANKA ANADOLU LİSESİ (SAKARYA - ADAPAZARI),1,1,0,3.659
ÖZEL ANKARA ABC FEN LİSESİ (ANKARA - ETİMESGUT),1,1,0,3.659
ÖZEL ANKARA MAYA FEN VE TEKNOLOJİ LİSESİ (ANKARA - GÖLBAŞI),1,1,0,3.659
ÖZEL ANKARA SANAYİ ODASI MESLEKİ VE TEKNİK ANADOLU LİSESİ (ANKARA - SİNCAN),1,0,1,3.659
ÖZEL ANKARA YENİMAHALLE HEDEF AKADEMİ ANADOLU LİSESİ (ANKARA - YENİMAHALLE),1,1,0,3.659
ÖZEL ANTALYA FİNAL FEN LİSESİ (ANTALYA - KEPEZ),2,2,0,3.659
ÖZEL ARI FEN LİSESİ (ANKARA - ÇANKAYA),1,1,0,3.659
ÖZEL ATAYURT FEN LİSESİ (ESKİŞEHİR - TEPEBAŞI),1,1,0,3.659
ÖZEL BİLİM KAMPÜS ANADOLU LİSESİ (DENİZLİ - MERKEZEFENDİ),1,1,0,3.659
ADEM-TOLUNAY ANADOLU LİSESİ (ANTALYA - MURATPAŞA),1,1,0,3.659
ÖZEL BODRUM BAHÇEŞEHİR ANADOLU LİSESİ (MUĞLA - BODRUM),1,1,0,3.659
ÖZEL ÇAĞDAŞ FEN LİSESİ (ESKİŞEHİR - TEPEBAŞI),1,1,0,3.659
ÖZEL ÇAĞDAŞ ÖNCÜ FEN LİSESİ (BURSA - NİLÜFER),1,1,0,3.659
ÖZEL ÇAKABEY LİSESİ (İZMİR - ÇİĞLİ),1,1,0,3.659
ÖZEL ÇAKIRLAR ŞENER ÇAKMAK FEN LİSESİ (ANKARA - YENİMAHALLE),1,1,0,3.659
ÖZEL ÇANKAYA BAHÇEŞEHİR KOLEJİ 50.YIL ANADOLU LİSESİ (ANKARA - ÇANKAYA),1,1,0,3.659
ÖZEL ÇANKAYA BAHÇEŞEHİR KOLEJİ 50.YIL FEN VE TEKNOLOJİ LİSESİ (ANKARA - ÇANKAYA),1,1,0,3.659
ÖZEL DİLTAŞ ANADOLU LİSESİ (KONYA - MERAM),1,1,0,3.659
ÖZEL ERDEM FEN LİSESİ (GAZİANTEP - ŞAHİNBEY),1,0,1,3.659
ÖZEL JALE TEZER BİLİM FEN LİSESİ (ANKARA - ÇANKAYA),1,1,0,3.659
AFYONKARAHİSAR HATTAT AHMET KARAHİSARİ ANADOLU İMAM HATİP LİSESİ (AFYONKARAHİSAR - MERKEZ),1,1,0,3.659
ÖZEL KONYA ESENTEPE FEN LİSESİ (KONYA - SELÇUKLU),1,1,0,3.659
ÖZEL MERZİFON SINAV KOLEJİ FEN LİSESİ (AMASYA - MERZİFON),1,1,0,3.659
ÖZEL MURADİYE ERKEK FEN LİSESİ (ANKARA - ALTINDAĞ),1,1,0,3.659
ÖZEL MUSTAFA KEMAL FİNAL ANADOLU LİSESİ (ANKARA - ÇANKAYA),1,0,1,3.659
ÖZEL NESİBE AYDIN FEN LİSESİ (ANKARA - GÖLBAŞI),1,1,0,3.659
ÖZEL NESİBE AYDIN YILDIZLAR FEN LİSESİ (ANKARA - ETİMESGUT),1,1,0,3.659
ÖZEL PROFESYONEL EĞİTİM AKADEMİSİ (PEMA) ANADOLU LİSESİ (KONYA - SELÇUKLU),1,1,0,3.659
ÖZEL PROFESYONEL EĞİTİM AKADEMİSİ (PEMA) FEN LİSESİ (KONYA - SELÇUKLU),1,1,0,3.659
ÖZEL ROTA FEN LİSESİ (İZMİR - GAZİEMİR),1,1,0,3.659
ÖZEL SEYDİŞEHİR GENÇ KAMPÜS FEN LİSESİ (KONYA - SEYDİŞEHİR),1,1,0,3.659
ANKARA FEN LİSESİ (ANKARA - ÇANKAYA),2,2,0,3.659
ÖZEL SINAV KOLEJİ ŞAHİN FEN LİSESİ (KOCAELİ - KARTEPE),1,1,0,3.659
ÖZEL TAN FEN LİSESİ (BURSA - NİLÜFER),1,1,0,3.659
ÖZEL YÜKSELEN FEN LİSESİ (ANKARA - ÇUBUK),1,1,0,3.659
ÖZEL YÜKSELEN KOLEJİ FEN LİSESİ (ANKARA - MAMAK),1,1,0,3.659
ÖZKENT AKBİLEK FEN LİSESİ (ANKARA - ETİMESGUT),1,1,0,3.659
PROF.DR.İLHAN KILIÇÖZLÜ FEN LİSESİ (KIRŞEHİR - MERKEZ),1,1,0,3.659
SAMSUN GARİP ZEYCAN YILDIRIM FEN LİSESİ (SAMSUN - ATAKUM),1,1,0,3.659
SEVAL-AHMET ÇETİN FEN LİSESİ (TEKİRDAĞ - ÇERKEZKÖY),1,1,0,3.659
ŞEHİT MUSTAFA SERİN FEN LİSESİ (BALIKESİR - EDREMİT),2,2,0,3.659
ŞEHİT OĞUZHAN YAŞAR ANADOLU LİSESİ (ANKARA - ETİMESGUT),1,1,0,3.659
ANTALYA ANADOLU LİSESİ (ANTALYA - MURATPAŞA),1,0,1,3.659
TEVFİK İLERİ ANADOLU İMAM HATİP LİSESİ (ANKARA - YENİMAHALLE),1,0,1,3.659
TOFAŞ FEN LİSESİ (BURSA - NİLÜFER),1,1,0,3.659
TOKAT MİLLİ PİYANGO İHYA BALAK FEN LİSESİ (TOKAT - MERKEZ),1,1,0,3.659
TRABZON MERKEZ FEN LİSESİ (TRABZON - ORTAHİSAR),1,1,0,3.659
TÜRK EĞİTİM VAKFI ÖZEL İNANÇ TÜRKEŞ ANADOLU LİSESİ (KOCAELİ - GEBZE),1,1,0,3.659
TÜRKİYE ODALAR VE BORSALAR BİRLİĞİ FEN LİSESİ (KARAMAN - MERKEZ),1,1,0,3.659
UFUK ARSLAN ANADOLU LİSESİ (ANKARA - ETİMESGUT),1,1,0,3.659
UŞAK FEN LİSESİ (UŞAK - MERKEZ),1,1,0,3.659
VAKFIKEBİR FEN LİSESİ (TRABZON - VAKFIKEBİR),1,1,0,3.659
YAHYA AKEL FEN LİSESİ (MERSİN - YENİŞEHİR),1,1,0,3.659
Toplam,67,63,4,3.689
ÇAPA FEN LİSESİ (İSTANBUL - FATİH),2,1,1,3.689
ERZURUM İBRAHİM HAKKI FEN LİSESİ (ERZURUM - PALANDÖKEN),1,1,0,3.689
GALATASARAY ÜNİVERSİTESİ GALATASARAY LİSESİ (İSTANBUL - BEYOĞLU),1,1,0,3.689
GÜNGÖREN İSTANBUL TİCARET ODASI KIZ ANADOLU İMAM HATİP LİSESİ (İSTANBUL - GÜNGÖREN),1,1,0,3.689
HALİL KALE FEN LİSESİ (MANİSA - TURGUTLU),1,1,0,3.689
HAYDARPAŞA LİSESİ (İSTANBUL - ÜSKÜDAR),3,3,0,3.689
