High School,Total,New Graduates,Previous Graduates,Success Rank
SAKARYA CEVAT AYHAN FEN LİSESİ (SAKARYA - ADAPAZARI),1,1,0,286
SEYHAN BORSA İSTANBUL FEN LİSESİ (ADANA - SEYHAN),1,1,0,286
SÜMER FEN LİSESİ (KAYSERİ - KOCASİNAN),1,1,0,286
ANKARA FEN LİSESİ (ANKARA - ÇANKAYA),3,3,0,286
ŞANLIURFA FEN LİSESİ (ŞANLIURFA - HALİLİYE),2,2,0,286
ŞEHİT OĞUZHAN YAŞAR ANADOLU LİSESİ (ANKARA - ETİMESGUT),1,1,0,286
TED ANKARA KOLEJİ VAKFI ÖZEL LİSESİ (ANKARA - GÖLBAŞI),2,2,0,286
TERME FEN LİSESİ (SAMSUN - TERME),1,1,0,286
TOFAŞ FEN LİSESİ (BURSA - NİLÜFER),1,1,0,286
TRABZON MERKEZ FEN LİSESİ (TRABZON - ORTAHİSAR),1,1,0,286
VEHBİ DİNÇERLER FEN LİSESİ (GAZİANTEP - ŞEHİTKAMİL),1,1,0,286
YILMAZ KAYALAR FEN LİSESİ (TOKAT - ERBAA),1,1,0,286
ANKARA PURSAKLAR FEN LİSESİ (ANKARA - PURSAKLAR),1,1,0,286
ATATÜRK ANADOLU LİSESİ (ANKARA - YENİMAHALLE),3,3,0,286
AYDIN FEN LİSESİ (AYDIN - EFELER),1,1,0,286
AYTEN KEMAL AKINAL ANADOLU LİSESİ (GAZİANTEP - ŞEHİTKAMİL),1,1,0,286
BUCA İNCİ-ÖZER TIRNAKLI FEN LİSESİ (İZMİR - BUCA),1,1,0,286
CUMHURİYET FEN LİSESİ (ANKARA - ÇANKAYA),1,1,0,286
Toplam,26,26,0,363
MALATYA ERMAN ILICAK FEN LİSESİ (MALATYA - YEŞİLYURT),1,1,0,363
MARDİN FEN LİSESİ (MARDİN - ARTUKLU),1,1,0,363
ÖZEL ADANA FİNAL FEN LİSESİ (ADANA - ÇUKUROVA),1,1,0,363
ÖZEL ELİTSEN KOLEJİ FEN LİSESİ (ERZURUM - AZİZİYE),1,1,0,363
ÖZEL İDEAL EĞİTİM ANADOLU LİSESİ (KAYSERİ - TALAS),1,1,0,363
ÖZEL İSTEK GAZİANTEP FEN LİSESİ (GAZİANTEP - ŞEHİTKAMİL),1,1,0,363
ÖZEL RÜZGAR FEN LİSESİ (DİYARBAKIR - BAĞLAR),1,1,0,363
ÖZEL SARAÇ İLGİ OKULLARI FEN LİSESİ (ŞANLIURFA - KARAKÖPRÜ),1,1,0,363
ÖZEL SEVGİ FEN LİSESİ (ANKARA - GÖLBAŞI),1,1,0,363
REKABET KURUMU CUMHURİYET FEN LİSESİ (DİYARBAKIR - YENİŞEHİR),1,1,0,363
ADANA FEN LİSESİ (ADANA - SEYHAN),2,2,0,363
ŞEHİT MEHMET ŞENGÜL FEN LİSESİ (ESKİŞEHİR - TEPEBAŞI),1,1,0,363
TÜRKİYE BÜYÜK MİLLET MECLİSİ VAKFI BİNGÖL FEN LİSESİ (BİNGÖL - MERKEZ),1,1,0,363
UŞAK FEN LİSESİ (UŞAK - MERKEZ),1,1,0,363
VAN TÜRK TELEKOM FEN LİSESİ (VAN - EDREMİT),2,2,0,363
VEHBİ DİNÇERLER FEN LİSESİ (GAZİANTEP - ŞEHİTKAMİL),1,1,0,363
YUSUF ZİYA ÖNER FEN LİSESİ (ANTALYA - DÖŞEMEALTI),1,1,0,363
ANKARA FEN LİSESİ (ANKARA - ÇANKAYA),1,1,0,363
EBRU NAYİM FEN LİSESİ (TEKİRDAĞ - SÜLEYMANPAŞA),1,1,0,363
GAZİANTEP ANADOLU LİSESİ (GAZİANTEP - ŞEHİTKAMİL),1,1,0,363
ISPARTA SÜLEYMAN DEMİREL FEN LİSESİ (ISPARTA - MERKEZ),1,1,0,363
İPEKYOLU BORSA İSTANBUL FEN LİSESİ (VAN - İPEKYOLU),1,1,0,363
KASTAMONU FEN LİSESİ (KASTAMONU - MERKEZ),1,1,0,363
KIRIKKALE FEN LİSESİ (KIRIKKALE - MERKEZ),1,1,0,363
Toplam,16,15,1,386
ÖZEL ANTALYA LARA BAHÇEŞEHİR ANADOLU LİSESİ (ANTALYA - MURATPAŞA),1,1,0,386
ÖZEL BORNOVA FİNAL FEN LİSESİ (İZMİR - BAYRAKLI),1,1,0,386
ÖZEL ELAZIĞ FİNAL AKADEMİ FEN LİSESİ (ELAZIĞ - MERKEZ),1,1,0,386
ÖZEL ENKA FEN VE TEKNOLOJİ LİSESİ (KOCAELİ - DİLOVASI),1,1,0,386
ÖZEL İZMİR BAHÇEŞEHİR KOLEJİ ELLİNCİ YIL FEN VE TEKNOLOJİ LİSESİ (İZMİR - BORNOVA),1,1,0,386
ÖZEL ORDU ÜNYE FİNAL AKADEMİ FEN LİSESİ (ORDU - ÜNYE),1,0,1,386
TED DİYARBAKIR KOLEJİ ÖZEL ANADOLU LİSESİ (DİYARBAKIR - KAYAPINAR),1,1,0,386
TED ISPARTA KOLEJİ ÖZEL LİSESİ (ISPARTA - MERKEZ),1,1,0,386
AÇIK ÖĞRETİM LİSESİ ( - MERKEZE BAĞLI TAŞRA),1,1,0,386
ANKARA FEN LİSESİ (ANKARA - ÇANKAYA),1,1,0,386
EDİRNE SÜLEYMAN DEMİREL FEN LİSESİ (EDİRNE - MERKEZ),1,1,0,386
ERZURUM İBRAHİM HAKKI FEN LİSESİ (ERZURUM - PALANDÖKEN),1,1,0,386
HİSAR EĞİTİM VAKFI ÖZEL HİSAR LİSESİ (İSTANBUL - EYÜPSULTAN),1,1,0,386
KABATAŞ ERKEK LİSESİ (İSTANBUL - BEŞİKTAŞ),1,1,0,386
MİDYAT FEN LİSESİ (MARDİN - MİDYAT),1,1,0,386
ÖZEL AMERİKAN ROBERT LİSESİ (İSTANBUL - BEŞİKTAŞ),1,1,0,386
Toplam,46,45,1,452
İZMİR FEN LİSESİ (İZMİR - BORNOVA),2,2,0,452
KIRIKKALE FEN LİSESİ (KIRIKKALE - MERKEZ),1,1,0,452
KÜTAHYA NAFİ GÜRAL FEN LİSESİ (KÜTAHYA - MERKEZ),1,1,0,452
MERAM ANADOLU LİSESİ (KONYA - MERAM),1,1,0,452
NAZİLLİ FEN LİSESİ (AYDIN - NAZİLLİ),1,1,0,452
OSMAN ULUBAŞ KAYSERİ FEN LİSESİ (KAYSERİ - KOCASİNAN),2,2,0,452
ÖDEMİŞ AYHAN KÖKMEN FEN LİSESİ (İZMİR - ÖDEMİŞ),1,1,0,452
ÖZEL BİLGİ FEN LİSESİ (TOKAT - MERKEZ),1,1,0,452
ÖZEL BORNOVA FEN LİSESİ (İZMİR - BORNOVA),1,1,0,452
ÖZEL ÇAĞDAŞ ÖNCÜ FEN LİSESİ (BURSA - NİLÜFER),1,1,0,452
AÇIK ÖĞRETİM LİSESİ ( - MERKEZE BAĞLI TAŞRA),1,0,1,452
