High School,Total_Instances,Success_Ranks
VAN TÜRK TELEKOM FEN LİSESİ (VAN - EDREMİT),68,"[363.0, 1.242, 3.294, 3.356, 3.577, 3.689, 4.886, 5.145, 5.787, 6.639, 7.32, 8.071, 8.201, 8.58, 9.589, 9.627, 10.165, 10.321, 10.901, 11.277, 11.733, 12.683, 13.176, 13.25, 13.973, 14.61, 15.038, 16.761, 17.273, 17.824, 18.333, 18.719, 18.907, 19.077, 20.037, 20.156, 21.168, 22.085, 22.575, 23.448, 23.583, 23.783, 24.589, 25.044, 26.474, 26.897, 27.034, 27.352, 27.427, 27.516, 27.909, 28.414, 29.049, 29.182, 30.424, 30.469, 30.608, 31.183, 32.79, 33.565, 34.285, 34.778, 35.079, 35.495, 37.839, 38.552, 39.123, 39.508]"
TRABZON MERKEZ FEN LİSESİ (TRABZON - ORTAHİSAR),68,"[286.0, 1.311, 1.348, 1.763, 1.858, 1.935, 2.053, 2.408, 2.826, 2.963, 3.577, 3.659, 4.344, 4.886, 4.91, 5.199, 5.787, 5.947, 6.399, 6.639, 7.32, 7.43, 7.571, 8.58, 8.932, 9.162, 9.589, 9.61, 9.627, 10.901, 11.535, 11.7, 11.733, 12.286, 12.342, 12.463, 13.255, 13.485, 13.564, 14.245, 15.819, 16.552, 17.071, 17.132, 17.273, 17.31, 17.383, 18.719, 19.963, 20.037, 20.06, 21.103, 22.314, 22.575, 22.581, 23.094, 26.18, 26.897, 27.427, 27.586, 27.829, 27.956, 28.565, 31.544, 32.688, 35.36, 36.073, 36.271]"
ANTALYA ANADOLU LİSESİ (ANTALYA - MURATPAŞA),67,"[1.603, 1.935, 2.053, 3.577, 3.659, 4.27, 4.377, 5.145, 5.199, 6.762, 7.32, 8.262, 8.58, 9.627, 9.716, 10.795, 11.277, 11.733, 12.683, 13.177, 13.255, 13.564, 15.038, 15.66, 15.819, 17.018, 17.383, 17.824, 17.942, 18.333, 18.662, 18.714, 19.442, 19.963, 20.156, 22.037, 22.085, 22.161, 22.181, 22.575, 22.581, 22.669, 23.272, 23.323, 23.783, 24.094, 25.044, 27.034, 28.342, 28.664, 29.333, 29.719, 30.038, 31.45, 31.493, 33.097, 33.863, 34.163, 34.2, 34.285, 34.627, 35.36, 35.417, 35.701, 36.278, 37.839, 39.206]"
UŞAK FEN LİSESİ (UŞAK - MERKEZ),67,"[122.0, 363.0, 945.0, 1.311, 1.348, 1.603, 1.676, 1.858, 1.935, 2.053, 3.064, 3.294, 3.356, 3.659, 3.771, 4.122, 4.377, 5.145, 5.199, 5.29, 6.205, 6.31, 6.639, 7.296, 7.32, 8.201, 8.58, 8.917, 9.589, 10.165, 10.321, 11.7, 12.683, 13.45, 13.485, 13.973, 14.988, 17.132, 17.273, 17.383, 17.824, 17.828, 17.942, 20.33, 20.419, 22.161, 22.192, 23.272, 23.323, 23.389, 23.457, 24.094, 24.13, 26.044, 26.792, 28.1, 28.342, 28.414, 29.182, 31.45, 32.565, 34.2, 34.627, 35.288, 35.417, 35.666, 35.968]"
OSMAN ULUBAŞ KAYSERİ FEN LİSESİ (KAYSERİ - KOCASİNAN),66,"[254.0, 286.0, 452.0, 758.0, 1.242, 1.288, 1.348, 1.603, 1.763, 1.804, 1.858, 1.935, 2.388, 2.408, 2.681, 2.792, 3.035, 3.294, 3.577, 3.658, 3.787, 5.145, 5.199, 5.725, 5.787, 6.31, 6.639, 6.762, 7.32, 7.571, 8.071, 8.201, 9.61, 9.716, 10.779, 10.901, 11.535, 12.342, 13.176, 13.45, 13.485, 13.487, 14.136, 14.203, 15.094, 17.273, 18.118, 19.498, 20.156, 20.538, 21.427, 23.284, 23.457, 24.461, 25.654, 25.78, 25.811, 26.345, 27.034, 27.177, 27.516, 29.065, 31.085, 31.102, 32.688, 34.037]"
ADANA ANADOLU LİSESİ (ADANA - ÇUKUROVA),66,"[452.0, 1.234, 1.242, 1.734, 2.826, 3.659, 3.771, 4.886, 5.145, 5.199, 5.29, 5.787, 6.399, 6.639, 7.31, 7.43, 8.262, 8.58, 10.612, 10.779, 12.342, 13.176, 13.25, 13.255, 14.089, 15.033, 15.66, 16.394, 16.552, 16.846, 17.828, 17.942, 18.333, 19.077, 19.32, 19.963, 20.156, 20.419, 21.168, 22.575, 22.581, 22.669, 23.284, 23.36, 23.517, 23.914, 25.361, 25.654, 25.78, 26.044, 26.429, 27.311, 27.595, 28.1, 28.704, 30.913, 31.493, 31.66, 33.565, 34.627, 34.778, 35.417, 35.496, 37.31, 38.55, 38.608]"
EYÜP AYGAR FEN LİSESİ (MERSİN - YENİŞEHİR),65,"[452.0, 945.0, 1.288, 1.348, 1.391, 1.603, 1.676, 1.858, 1.935, 2.388, 2.392, 2.408, 3.577, 3.659, 5.145, 5.199, 5.29, 6.399, 6.639, 6.727, 6.762, 7.32, 7.571, 8.262, 8.58, 9.162, 9.175, 9.295, 9.61, 9.627, 9.716, 10.612, 11.733, 12.683, 13.255, 13.324, 13.973, 14.61, 14.988, 16.846, 17.273, 18.246, 18.333, 19.139, 19.32, 21.168, 22.085, 23.272, 23.284, 25.654, 26.106, 27.311, 27.586, 28.1, 28.342, 28.704, 29.049, 29.446, 31.449, 32.348, 33.097, 34.116, 35.495, 36.073, 38.243]"
ŞEHİT MÜNİR ALKAN FEN LİSESİ (İSTANBUL - BÜYÜKÇEKMECE),65,"[1.008, 1.311, 1.348, 2.963, 3.294, 3.356, 3.658, 3.689, 3.771, 5.29, 5.361, 5.725, 5.947, 6.545, 7.32, 7.43, 8.58, 10.165, 11.277, 11.324, 12.342, 13.176, 13.45, 13.487, 13.547, 14.089, 14.136, 14.398, 14.749, 15.038, 16.371, 16.761, 17.828, 18.6, 18.69, 19.538, 19.963, 20.037, 20.06, 20.419, 21.23, 23.389, 23.783, 23.884, 24.264, 24.589, 26.044, 27.586, 27.595, 27.815, 27.956, 28.376, 29.049, 29.182, 29.256, 30.038, 30.322, 31.102, 31.383, 31.544, 33.408, 34.116, 34.627, 37.31, 39.558]"
YUSUF ZİYA ÖNER FEN LİSESİ (ANTALYA - DÖŞEMEALTI),65,"[363.0, 945.0, 1.008, 1.242, 1.288, 1.311, 1.858, 1.935, 2.408, 2.826, 3.356, 3.577, 3.658, 3.689, 4.344, 4.686, 5.145, 5.29, 5.787, 5.793, 5.946, 5.947, 7.43, 8.201, 8.58, 9.025, 9.627, 10.165, 11.7, 11.733, 12.201, 12.463, 13.125, 13.176, 13.25, 13.255, 14.988, 15.038, 17.018, 17.31, 17.824, 19.22, 19.963, 21.103, 22.085, 22.161, 22.314, 23.352, 23.389, 23.457, 23.884, 24.094, 26.18, 27.034, 27.75, 28.376, 28.664, 29.049, 29.065, 30.038, 31.102, 32.334, 34.285, 34.778, 35.496]"
ERBAKIR FEN LİSESİ (DENİZLİ - MERKEZEFENDİ),65,"[31.0, 203.0, 286.0, 1.008, 1.242, 1.288, 1.311, 1.348, 1.391, 1.603, 1.676, 1.858, 1.935, 2.053, 2.792, 3.294, 3.356, 3.577, 3.659, 3.771, 4.27, 4.377, 5.29, 5.725, 5.946, 5.947, 7.296, 7.32, 7.43, 8.262, 8.58, 8.917, 8.932, 9.627, 10.901, 12.683, 13.255, 13.45, 13.973, 14.988, 15.007, 15.66, 15.819, 16.409, 16.761, 17.018, 17.273, 17.828, 18.662, 19.22, 19.442, 20.419, 21.427, 23.389, 23.457, 24.094, 25.986, 26.044, 28.1, 29.065, 29.182, 29.333, 29.883, 30.469, 39.206]"
